Player,Season,Team,Valor_Mercado,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
bryan cristante,2022-2023,roma,44456000.0,0.21868367758397256,10.328988671892986,-2.0987660970915916,1.080120803363888,2.2202323896326384,-1.14805010540484,1.9463951447385197,0.3376130091534841,-0.7807678572666175,2.4266412210365034,-0.2795448359876337,-1.904740235101758,-0.6147129296362982,0.46748257511087643,-2.243348550392365,-0.8832964696020227,0.1937278404959096,-1.130940254987501,0.5016683078483709,-1.7372072782685333
jordan pickford,2018-2019,everton,41630000.0,-3.663002311622972,-2.185380193954399,5.655320256363126,-1.3303883098147047,-5.169063433000585,-2.0887631431000955,4.184663404951433,-0.7855702632688643,-4.041961280604553,-0.27610075903220477,3.2432959922440765,2.4981907327602624,0.014816144036124312,1.13590738963437,0.2517150054463446,0.013164207451765397,0.259038696355414,0.018613210659794474,0.07952527284535754,-0.5333197563557178
pape matar sarr,2023-2024,tottenham-hotspur,40807000.0,2.143241702819716,2.236743167522223,-0.6368406404261975,-0.1344067787912384,-0.7204999057660972,-0.904749679710669,0.04596042320798516,-0.16053104296371887,-0.9926025280948777,-0.6954800460152732,0.13727333206828413,-0.04525932867284003,1.490985219196958,-0.4308459693383785,0.1472875921202353,1.1401377281289933,-0.3193832735713999,0.35490343732426627,0.3385497115085358,0.2964608077472448
timothy castagne,2018-2019,atalanta,37789700.0,-0.13039594819281314,5.135985136921296,-0.7969185617465653,-1.6310261844789322,1.964380752176167,-0.8460771895623351,-1.5305363473053597,-1.2048675421362125,0.21489979060152953,0.47456013356819843,0.8734652859191074,-0.16062802345331442,-0.7775545683050757,0.46833510604882744,-0.6823507311497637,-0.3550892234466774,0.8516960270512064,0.07859676900159827,-0.2563520004322641,-0.055762161745373955
mattia bani,2019-2020,bologna,36294000.0,-0.4692804643210098,4.050216599625758,1.1267351573909332,4.127136431739013,0.32316991836285625,-0.771725061267166,-0.10672824435501808,1.8877070503726283,-0.9784552541873304,0.36635355606035636,1.243432657520262,0.5485773361019037,1.7900202765642215,-0.4541969571994635,-0.5437211655125894,0.04906228995687961,-0.2371195706587333,0.5631600232520664,-0.6704236353832729,0.09073047043414922
diego laxalt,2018-2019,milan,15561100.000000002,-3.2669895134692526,-1.055483722809003,-1.2259601188946965,-0.773133158481345,1.8886106659906312,-0.23302696245858986,-0.8902430787866406,-0.7082518335811586,0.07387802532914693,0.43382062555270745,0.098903807064853,0.08045567410324683,-0.21473810692898518,1.009089537466033,0.6846171382713885,-0.6264766512142682,-0.03634262470663438,0.2403490431622877,-0.16828893739936898,0.042902501358867653
jonjo shelvey,2018-2019,newcastle-united,17051899.999999993,-3.1330961609784085,-1.7998445234347884,-0.48044191652742047,-1.0824371163471138,1.2513376703199277,0.28373042936717663,-0.45118128874955005,-0.3813903723492594,0.42318075478511863,0.1801435528050804,0.5338824752014136,-0.23953276249109515,-0.32538039433209803,-0.04602812816899705,-0.19361388767611828,0.5928892213740465,-0.4531846593490978,-0.3653270178932801,0.3158291316227076,-0.18706014270900062
ryan bertrand,2019-2020,southampton,39180000.0,0.5940912532247261,4.789819737621053,-0.3067546757355357,-1.0696705149470758,-0.6617258536328829,-0.31113945284612876,0.5539847059192443,1.2924823980063236,-0.19178310831247664,1.4422566104376722,-0.6411951634052863,1.0456395758392543,-1.6790152942372154,0.20759370434427785,0.061403331068098234,0.8090588059741158,0.9886128882081641,-0.657866084469497,0.02665936120449693,0.8922743743657545
gleison bremer,2019-2020,torino,40718000.0,-1.0459629625442413,6.2513665359619255,0.2117207641040419,4.089961995545288,0.5715489704650283,-0.15207534468724537,-1.3360271522831295,3.0539768328097123,-1.1180697221025353,-0.7677908904970648,0.8157058845156558,-0.16425469885183416,-1.7987665810514677,1.1508450829260337,-0.1530099448134645,0.7983745165332381,0.6896737530002516,1.229856227543181,-1.6536974902020907,-0.1854864207981129
joachim andersen,2018-2019,sampdoria,45199700.000000015,-2.8661481421824733,4.504892480971855,1.9061090149998856,1.7926498368588053,-1.2406269044082892,0.3283238572677717,-0.9473303710317983,-0.7700710179455638,-0.38506129098950703,-0.7610628436169982,-0.3819994347221607,-0.0224852560477408,0.26913364872030465,-0.9562946652179709,-0.1170415303676547,0.1949715117621636,0.2926833442912109,-0.014499914054104841,0.6368808515684736,0.0485339862601537
dennis johnsen,2021-2022,venezia,28138000.0,0.772272058434762,-2.348748232998161,-1.127752940782478,-1.1985509791864717,-0.9047125075108124,-0.10406091229553986,-0.4454964048068536,-0.43965082156137464,-0.39857039710748565,-0.3641639633118291,-1.2259178080068587,0.5070872567778877,-0.06998210671621627,0.2141358817241148,-0.3822372406694993,-0.6027859169039053,-0.023281222884935244,-0.16550724960243365,-0.4911068409641642,-0.06497965625469486
milan skriniar,2018-2019,inter,48408800.00000001,-2.4790139291960833,7.334697254470414,1.119538326173873,2.5310690535371925,-0.4132334571051403,0.23278160692788322,-0.9372746933675392,-1.5196648112096733,0.48993620621806877,-0.6738945568547,-0.8727322804771286,-0.65373553228556,-1.2653089752370488,-0.3874327193240223,-1.0562078941593545,-1.218321785958127,0.3346658480268388,-1.253013058871654,1.4582510381135596,-0.3574072651405115
daniel podence,2022-2023,wolverhampton-wanderers,31058000.0,3.2930227524138425,-0.6398921358374937,-0.3930501814994583,-0.35745382749964627,0.5402769291533372,-2.3191110672039774,0.5150673793073682,0.03266127562669466,0.6703412575652815,-0.06410214849955362,-0.5034611617365334,0.4468152976323982,-0.10637444611565068,-0.9002752639364594,0.847445774190494,-0.3072528453155514,0.032271236822506204,-0.6643092541518959,-0.43686837967187736,-0.06394284857024879
tyler roberts,2020-2021,leeds-united,28805000.0,0.5118717369380459,-1.7945132662421268,-1.5211417259431064,-1.121085578149129,-0.47949601452868124,-0.39163722558231595,-0.006943335708018071,-0.25883079915802293,-0.5435797490001161,-1.2839650058064063,-1.030559379945655,0.10819853995656303,0.0356224237355463,0.2697268438912355,0.029492546446959502,0.05143734623879982,-0.366437431918336,-0.2117707534919584,-0.22328994958995962,-0.14521642460757456
roberto inglese,2019-2020,parma,12856699.999999998,-2.066487286154221,-3.7359394139238504,1.0208910811550844,-1.544861702215682,2.3219988332364476,-0.5942214312116241,-0.3978207022720994,0.012517547083975407,0.8274004644849939,-0.4200617820497097,0.5820439489282382,-0.07530944349773744,-0.0024184755756739085,1.0726434506382205,-0.31370304030365165,0.41803484658832313,0.39508923945930835,-0.45731023946925003,-0.2778116869875007,0.06125430658871466
michele cerofolini,2023-2024,frosinone,13045000.0,-4.443764166435351,-5.245805127269672,0.321213613081244,-1.2065108320575966,0.7035636518972456,-0.285391132900467,0.6107521278158001,0.2037051224254944,-0.3169543653715729,-1.4115766515259693,0.7406085162409871,0.4790148093173485,-0.11054053852983396,-0.12618011455012454,-0.2685308833722436,0.3168294687721802,0.36079380209630574,-0.1709373636699161,0.10665035562611551,-0.6081774349402098
nicolas otamendi,2019-2020,manchester-city,23556000.000000004,-1.9175777954521478,0.2629709895475844,0.9914811419755771,1.5982572907593509,-0.2098741160980449,-0.06781633299181074,1.1017588403192742,-0.3711823503746354,0.5765517843832458,0.475652769841048,1.222653522949331,1.1628518495626472,-0.22875557258128942,-0.35421226895471314,-0.46653893853685985,-0.18605636573473663,0.23495117611011984,-0.31457764715167524,0.505577612706174,0.6388890972243476
mario pasalic,2018-2019,atalanta,28811500.0,-0.3761018018047941,0.6626741930476382,0.8810184560080914,-2.55021786803084,1.179617068312094,-1.4582923197007773,-0.3390332221451185,-0.4927705041835922,0.13184093442940104,-0.6109519428725427,1.330895341789979,-0.18261096840040622,-0.5029399862314029,1.4837900770920147,-0.06280824291995413,1.2464645256682216,0.21711402931098997,-0.41678124498049823,0.16135684683948445,0.17426629981408628
joe worrall,2022-2023,nottingham-forest,34915000.0,-2.7573150123102024,3.7346966923852594,0.6964196032341482,2.952134442555139,-0.2768102312163301,0.40475293600035017,-0.7054180989215951,-1.0331392219822961,0.006818011823530065,0.04666093378522442,0.19034219067981611,0.14442917467044983,0.2372268732862654,0.01215286594254048,-0.5065600712578577,-0.5654060899431762,0.7387192818308925,-1.1510262985637836,0.0864591482059192,-0.3396009579200807
serge aurier,2023-2024,nottingham-forest,12727000.000000004,-2.5614414946380086,-2.425749584688553,-1.2226937009388363,-0.07189166497763975,-0.34391742755132215,1.719190157825789,0.5180590944145019,-0.1334053895106433,0.47513357280467844,-0.2957774829506551,1.4995307515283147,-0.28244217116088066,0.20674835123507876,0.44699973252925596,-0.412029161546975,-0.2105470261784971,-0.06574204916938164,0.6504911162294892,0.30081717247806855,-0.6320349956401058
gleison bremer,2022-2023,juventus,40669000.0,0.5168302672766139,2.8749495215511645,2.174961911941784,3.9559356862790773,-1.4178745285163261,-0.11156859008067625,-1.1036187159342472,-0.8813959272505651,0.06111292163100076,-0.5993353506615525,0.3868849793658626,1.3196204772303068,0.43440457616125067,1.0672558022539644,0.05457964293898376,-0.46816397100407836,-0.6430742348949791,-0.09342137055156995,-0.5742149555251825,0.5360882520027117
valentin mihaila,2021-2022,parma,23488000.0,1.3154462570542182,-4.524011807226925,-1.894239012295073,1.3618282396214907,0.30969150078939905,-0.8095010940750768,-0.46914915510875055,-0.20621675854379878,-0.7332838152124287,-0.19940254434312837,-0.5187126960517378,0.6460941832281014,0.6513141927604942,-0.4359311110978081,-0.4071141677708224,-0.3854628061913534,0.05524705049518189,0.40228999508531404,0.795767610551208,0.3213110757647755
stephan el shaarawy,2023-2024,roma,25276000.0,1.8125265901912488,-1.5597616256707652,0.027678002225955546,-0.42364952108111364,-2.270509240874907,0.5473163243277825,0.49780957874442344,-0.3418072997261224,0.08479186708328265,0.3441170268370016,1.507408137239341,0.5065336672263515,0.008802449144963653,0.3804401799032644,-0.17944175426605544,-0.33594734129883363,0.8135269809488733,0.6016524974996327,-0.1560180452982122,-0.17196559670913109
daniel bessa,2021-2022,hellas verona,13743999.999999998,-1.728591554610948,-3.066625864833605,-0.9316721364842592,-0.1915681915476793,0.2723343581436254,0.3080777829537795,0.255326826690731,2.4986052204394937,0.0629762878051829,-0.6127690255127394,0.19409818703065942,-0.7842085491681278,-0.10110873696197595,-0.18680288912375112,0.917739345407784,-0.4813230871930706,-0.1929596116252296,0.16255808305406846,0.32092584291679455,0.01643159454675004
ederson,2022-2023,atalanta,39608000.0,0.6237370569149812,6.494031525496809,-2.2935214329071907,-0.4102025059486491,1.4989670140926552,-1.667018367505886,0.9761040931990121,-1.250097434121768,0.04479907023255219,-0.690186879524988,-1.1514212309033451,-0.16591333373055722,-1.0441549470864115,1.5214218386126905,0.5674365644222308,-0.7079361968111719,-1.9273159158272957,0.5741949967309251,-0.837974638352289,-0.48565195993045335
luca rossettini,2019-2020,lecce,29053999.999999996,-2.8507428213097885,2.1189335590265395,1.4542424702466026,2.0733819819394075,-1.4932225447268688,1.7376384963692588,0.48562259374409894,-0.07340821290180284,1.8011933648939253,-0.8968160524468689,0.10558601057376832,0.17115471260560883,0.03635115169290562,0.4030266362474594,-0.11138527127865656,-0.6540087678029175,0.520091189966978,-0.4002511444445717,0.06850487223211789,0.8403045127093899
luca caldirola,2022-2023,monza,29807999.999999996,-1.9689814480822985,1.6031072792866703,1.8411555819537673,1.5313438304608906,-0.7625267837108303,-0.13483153268287443,0.36075003651101467,-0.2196774942721996,1.0402928849516708,-0.1398495494714682,-0.10473299330867497,-0.0016195019431905818,0.24842323459491994,0.2972673157176766,1.0370249478375289,-0.4241399287614934,0.28737704189283914,-0.41905947914283614,-0.02776305969688468,0.37614851794045434
luke ayling,2020-2021,leeds-united,51607000.0,-0.046211745626487624,12.301760240944649,0.048117483722809794,1.6389374913161419,-1.41480735367294,-0.15906712610019538,1.8498086201594908,-1.6034179874812213,-1.0343591135396273,1.406855388299886,1.835410088665074,4.2028939448650675,-0.6539758309062813,0.07366067973080725,-0.5897491874852261,-0.2713421966299721,2.0903632218624764,-2.107539390425002,1.9826011789582414,-1.448450954052369
