Player,Season,Team,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
david luiz,2019-2020,arsenal,-1.805536632445769,3.3915383316166614,3.180804569633011,3.5863406793178885,-2.270396564410915,1.2426330389913425,-0.49063994812947115,3.825696421113311,0.21729347920432104,-0.22961727820904587,0.18959170906442172,0.6088398801006193,-1.486008020532702,1.0831422628788705,0.3625905508325096,0.17383491882062108,-0.3913175464112914,-1.2625055001952727,1.034359215048438,-0.3711472416993761
bernd leno,2019-2020,arsenal,-3.587110320877824,-3.191484107636918,3.318603883522525,-1.5310443101837536,-2.191182642865383,-1.2706211433771555,2.0419440976075722,-0.09323619418784178,-0.7826706738789124,-0.559525607629636,-0.1185647162154326,-0.48630737390676027,-0.08198643303369495,-0.179208579040769,-0.13997459110740104,0.008269210414738236,0.374746158693466,-0.055312055889948725,-0.04942259579916855,-0.3744058619956582
granit xhaka,2019-2020,arsenal,-1.0093693621154007,5.161627725587908,0.4688080898381214,-0.01970114061954123,-1.1301393930522288,-0.1439795677129957,1.7264617644125642,-0.09012580094050625,-0.7087300666036642,-0.356596819538439,1.4518821804916047,0.7482858650165782,1.2409463200374462,-0.27597248070747266,1.1733189383200386,0.6333923612325405,-0.38943282718122835,-0.8491973050577332,2.157797163779614,0.272301578378526
nicolas pepe,2019-2020,arsenal,5.506844060181161,-0.6992284152446963,-1.0531133491155245,-1.2156394383364857,-1.4842997706311625,1.4102911639477873,-1.2703678635876325,-0.615053471754271,-0.613551763537764,0.28137369277218377,-0.10217746134901098,-0.1915149593329255,0.4243630701245697,-0.31814166846139447,-0.35546317241720843,-0.3192659386341438,0.4805595510275023,0.5077272594941395,-0.10410895455281735,-0.9819095738025055
alexandre lacazette,2019-2020,arsenal,7.735328702403242,-1.7533557536650843,-0.5621854401386274,2.078746226026986,-0.27718511363466486,-1.7767344783799663,0.14583824486450786,0.26108015000601753,1.1344473160852568,0.18713844364369728,1.14216309521227,-0.9510907326997897,1.6164094398248363,-0.4778080092503899,-0.8136003512342165,-0.4608109072637138,-0.8092249781184779,0.2064012154886115,-0.26789815118152627,-0.5948500724702255
bukayo saka,2019-2020,arsenal,1.4352133693789355,0.8510506133545301,-2.5469796334067554,-1.713240805060809,-1.2384682937967328,0.7816468004937416,-1.3693997256646566,-0.6338939595240369,-1.5479540331972952,-0.5102549619952101,0.20939510368596884,-0.9106807510911266,0.8389299504316954,-0.3453465274537368,-0.5726513240324148,-0.142677303021497,1.5566466420467637,-0.35921045496471726,0.18001001702120628,0.39753020931316513
matteo guendouzi,2019-2020,arsenal,-1.6948470938668838,2.0214922469827505,-0.6292470907874134,-0.7311566009141975,-0.16740356271772372,-0.4158343816154361,0.8429510422338182,-0.21046261254159174,-1.3264154951223255,-1.2850028654511008,0.5276545157681154,1.3889909575545254,0.3671495266365464,-0.6705640486595665,0.37283367604788986,0.8865890853773364,-0.3596377457731552,-0.123395281952222,0.9714912854906117,0.7706192483249151
sead kolasinac,2019-2020,arsenal,-1.6825229943616609,0.42685973610905775,-0.4435885279031177,-0.7250016967733248,-0.7754357929468169,0.5915170009957431,-0.09322837249570101,-0.49477394231796096,-0.35169250329846047,0.29246050958273273,0.3324683213512991,0.1364051290408604,0.27571616515812997,0.04866664570276009,0.08162325034252942,0.3683484801441105,0.871592730535882,0.5381018963846307,-0.2270416635057057,0.337675658478146
sokratis papastathopoulos,2019-2020,arsenal,-2.483544336655449,0.14043964012001994,1.2010194380924266,2.3995370342503883,0.02730419664166413,0.34345540006380104,0.10314866969050664,0.03482648930832422,1.3158862194689263,-0.5763330795358594,0.611389071461661,0.40972103562069884,0.5029837072121334,0.32836775431897613,0.6292166575512773,-0.5712946783614825,0.41778124470375727,-0.9993963093612339,0.47302627053356755,-0.22951956431684897
dani ceballos,2019-2020,arsenal,-0.8514395384201967,2.689105025541232,-2.0966882681679655,-1.6744950502127112,0.22984432474648658,0.05509376850090246,1.3221181083111433,-0.6226323488507256,-0.6067178207314176,-0.8513086827433778,0.6017820606908566,0.7662555166979647,-1.3406128925251994,-1.204395288628106,-0.9956913079809224,0.9153194422749427,0.12147618481085519,-0.2487489826849232,0.8836635891271513,1.3047548601446766
lucas torreira,2019-2020,arsenal,-1.1006758469749176,1.3665576294770636,-1.048936634994445,0.3227851386749676,0.76870265072496,-0.6666443865673021,0.40798038104076745,-0.15656474326623948,-0.07495574933494163,-0.9515668553427268,-0.47851795565884486,-0.4988439137281843,0.7664912821137259,-0.04459633256920895,0.2651201604815203,0.5988761926964573,-0.28461777861183923,0.20320961868192494,-0.14685534445055579,0.8626960297880601
mesut ozil,2019-2020,arsenal,0.19885081070914,-2.3653755157630156,-1.0520434018217997,-1.924141237641269,-0.7547367302181943,0.6986877583691526,0.799237704299518,0.17224741108563266,0.9839751259746559,-0.10965934558970275,-0.4814049373625056,0.5923403692069998,-0.5712042959708585,-1.0733967414424912,-0.5621813425047217,0.18721266082979166,0.048304820587927504,-0.2907755875685847,0.46852137480401806,-0.17010104512406898
ainsley maitland-niles,2019-2020,arsenal,-1.6702301801277406,1.469002223136755,-2.1028098393995673,0.17863510049541007,0.31585131411061607,0.8270679143837278,-0.5735973890796039,1.5648262859976474,-1.4036858651788644,-0.10349163297258324,0.10345904333926217,-0.3147211705526605,-0.1340219564150578,-1.0057114981958988,-1.5310115295905744,-0.6238775747534283,0.9806915786494701,-0.050506484026682286,-0.4220199760661035,0.6603885140735041
shkodran mustafi,2019-2020,arsenal,-2.97176348807911,-1.8952551520549705,-0.17382094411993346,0.7443440847188161,0.11453472987979801,0.9844647755672864,-0.5006749214268325,-0.289937229143021,0.6025739855474254,-0.2793545677610921,-0.13381223882069265,-0.04428814192517934,-0.05540514756336012,-0.08074875320953499,-0.6109545667419424,0.5819135171584728,0.10880977198716422,0.17580732826354897,0.3399356657992511,0.23009799620478258
hector bellerin,2019-2020,arsenal,-2.3693849558688576,-0.7871494389552323,-0.6465393211079178,-0.4409034982680988,0.9643975489392781,-0.49431130314033156,0.1480165944384102,-0.40213155985532395,-0.19059234580081452,-0.5887989332484308,0.7094815086902173,0.8708123897172315,-0.6835287730273569,-0.2845969713492716,0.6586875999696279,-0.2768727402714203,-0.3037587948370414,0.22231393696628896,0.06218565836170878,0.24903712709211767
