Jogador,Matteo Pessina,Andrea Colpani,Michele Di Gregorio,Pablo Marí,Roberto Gagliardini,Dany Mota,Luca Caldirola,Samuele Birindelli,Giorgos Kyriakopoulos,Armando Izzo,Patrick Ciurria,Danilo D'Ambrosio,Andrea Carboni,Lorenzo Colombo,Warren Bondo,Milan Đurić,Valentin Carboni,Pedro Pereira,Jean-Daniel Akpa-Akpro,Alessio Zerbin,Alessandro Sorrentino,Gianluca Caprari,Samuele Vignato,Daniel Maldini,Pepín,Mirko Marić,Papu Gómez,Giulio Donati,Giorgio Cittadini,Andrea Ferraris,Davide Bettella,Alessandro Berretta,Franco Carboni,Leonardo Colombo,Stefano Gori,Eugenio Lamanna,Andrea Mazza,Andrea Petagna,Matija Popović
Pos.,LT,"LT,AT",G,ZG,"LT,ZG","AT,LT",ZG,ZG,ZG,ZG,"ZG,LT",ZG,ZG,AT,LT,AT,"LT,AT",ZG,LT,"ZG,AT",G,"LT,AT","LT,AT","LT,AT","LT,AT",AT,"LT,AT",ZG,ZG,LT,LT,LT,LT,LT,G,G,G,AT,LT
PB,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,5.0,1.0,0.0,7.0,5.0,3.0,7.0,7.0,3.0,9.0,2.0,5.0,1.0,3.0,9.0,2.0,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,6.3,4.8,0.0,0.4,2.9,3.6,0.5,1.1,1.2,0.7,1.5,0.7,1.2,3.6,0.9,3.0,2.3,0.2,0.5,0.4,0.0,0.7,1.7,1.3,0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,2.4,4.8,0.0,0.4,2.9,3.6,0.5,1.1,1.2,0.7,1.5,0.7,1.2,3.6,0.9,3.0,2.3,0.2,0.5,0.4,0.0,0.7,1.7,1.3,0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,1.1,5.0,0.0,0.3,1.7,3.0,0.6,2.9,1.4,0.5,2.6,0.2,0.5,0.6,0.3,0.7,1.7,1.2,0.1,0.8,0.0,0.7,0.2,1.2,0.1,0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,35.0,98.0,0.0,7.0,46.0,65.0,11.0,40.0,26.0,11.0,41.0,8.0,17.0,42.0,12.0,37.0,40.0,14.0,6.0,12.0,0.0,14.0,18.0,24.0,2.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,69.0,90.0,0.0,2.0,38.0,112.0,10.0,63.0,64.0,15.0,41.0,12.0,13.0,16.0,31.0,2.0,52.0,20.0,11.0,17.0,0.0,11.0,13.0,15.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,190.0,120.0,1.0,62.0,120.0,57.0,56.0,70.0,70.0,59.0,68.0,61.0,46.0,24.0,43.0,8.0,57.0,43.0,10.0,20.0,0.0,15.0,13.0,10.0,13.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,53.0,193.0,0.0,1.0,36.0,152.0,9.0,122.0,94.0,7.0,94.0,25.0,22.0,75.0,13.0,31.0,75.0,69.0,12.0,46.0,0.0,16.0,20.0,22.0,12.0,30.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,17.0,27.0,0.0,0.0,4.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,6.0,29.0,15.0,0.0,0.0,0.0,0.0,0.0,26.0,108.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,8.0,14.0,0.0,0.0,8.0,13.0,4.0,9.0,16.0,0.0,6.0,0.0,0.0,7.0,6.0,7.0,23.0,21.0,0.0,13.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,25.0,41.0,0.0,0.0,11.0,31.0,8.0,9.0,16.0,0.0,6.0,0.0,6.0,33.0,12.0,36.0,38.0,21.0,0.0,13.0,0.0,0.0,26.0,135.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,6.0,27.0,0.0,0.0,4.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,6.0,29.0,15.0,0.0,0.0,0.0,0.0,0.0,26.0,108.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,14.0,41.0,0.0,0.0,11.0,31.0,8.0,9.0,16.0,0.0,6.0,0.0,6.0,33.0,12.0,36.0,38.0,21.0,0.0,13.0,0.0,0.0,26.0,135.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,18.0,16.0,0.0,1.0,11.0,16.0,2.0,5.0,6.0,4.0,9.0,4.0,7.0,24.0,6.0,21.0,18.0,2.0,7.0,5.0,0.0,22.0,44.0,34.0,6.0,27.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,3.0,17.0,0.0,1.0,6.0,13.0,3.0,13.0,7.0,3.0,15.0,1.0,3.0,4.0,2.0,5.0,13.0,12.0,1.0,11.0,0.0,23.0,4.0,31.0,2.0,15.0,43.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
