Jogador,Cristiano Biraghi,Nikola Milenković,Pietro Terracciano,Giacomo Bonaventura,Nicolás González,Lucas Torreira,Igor,Alfred Duncan,Dušan Vlahović,Lorenzo Venuti,Álvaro Odriozola,Lucas Martínez Quarta,Gaetano Castrovilli,José Callejón,Riccardo Sottil,Riccardo Saponara,Youssef Maleh,Krzysztof Piątek,Sofyan Amrabat,Arthur Cabral,Jonathan Ikone,Bartłomiej Drągowski,Erick Pulgar,Matija Nastasić,Aleksa Terzić,Marco Benassi,Aleksandr Kokorin,Filippo Distefano,Vittorio Agostinelli,Alessandro Bianco,Michele Cerofolini,Destiny Egharevba,Filippo Frison,Louis Munteanu,Luca Ranieri,Antonio Rosati,Eljon Toci
Pos.,ZG,ZG,G,LT,AT,LT,ZG,LT,AT,ZG,ZG,ZG,LT,AT,AT,AT,LT,AT,LT,AT,AT,G,LT,ZG,ZG,"ZG,LT","AT,LT",AT,LT,LT,G,AT,ZG,AT,ZG,G,AT
TklW,24.0,32.0,0.0,17.0,16.0,29.0,31.0,19.0,0.0,10.0,15.0,25.0,17.0,6.0,4.0,2.0,16.0,4.0,13.0,5.0,3.0,0.0,6.0,1.0,5.0,0.0,1.0,0.0,301.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,17.0,31.0,0.0,12.0,6.0,13.0,34.0,13.0,0.0,13.0,12.0,23.0,15.0,6.0,4.0,1.0,8.0,1.0,9.0,2.0,2.0,0.0,4.0,1.0,3.0,1.0,1.0,0.0,232.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,15.0,20.0,0.0,16.0,8.0,21.0,16.0,16.0,2.0,10.0,6.0,11.0,6.0,6.0,4.0,6.0,13.0,1.0,13.0,5.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,203.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,5.0,3.0,0.0,5.0,7.0,3.0,3.0,5.0,3.0,2.0,7.0,2.0,4.0,3.0,1.0,3.0,6.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,73.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,22.0,29.0,0.0,21.0,9.0,18.0,30.0,11.0,2.0,14.0,15.0,21.0,12.0,13.0,3.0,6.0,12.0,2.0,11.0,4.0,3.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,268.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,53.0,34.0,4.0,46.0,28.0,40.0,40.0,32.0,11.0,24.0,32.0,34.0,23.0,31.0,9.0,16.0,25.0,3.0,19.0,7.0,10.0,0.0,9.0,1.0,7.0,2.0,0.0,0.0,540.0,541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,415.0,853.0,0.0,457.0,321.0,450.0,750.0,344.0,182.0,583.0,469.0,618.0,522.0,419.0,333.0,375.0,480.0,667.0,579.0,571.0,300.0,0.0,444.0,1000.0,571.0,500.0,0.0,0.0,496.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,31.0,5.0,4.0,25.0,19.0,22.0,10.0,21.0,9.0,10.0,17.0,13.0,11.0,18.0,6.0,10.0,13.0,1.0,8.0,3.0,7.0,0.0,5.0,0.0,3.0,1.0,0.0,0.0,272.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,28.0,30.0,0.0,20.0,26.0,18.0,37.0,32.0,6.0,13.0,17.0,22.0,18.0,6.0,3.0,5.0,14.0,6.0,25.0,4.0,10.0,0.0,5.0,1.0,7.0,3.0,1.0,0.0,357.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,10.0,15.0,0.0,2.0,2.0,1.0,19.0,3.0,2.0,4.0,6.0,9.0,4.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,91.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,18.0,15.0,0.0,18.0,24.0,17.0,18.0,29.0,4.0,9.0,11.0,13.0,14.0,6.0,3.0,5.0,13.0,6.0,17.0,3.0,8.0,0.0,4.0,0.0,7.0,3.0,1.0,0.0,266.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,19.0,39.0,2.0,14.0,21.0,26.0,31.0,10.0,1.0,5.0,8.0,19.0,11.0,3.0,1.0,1.0,6.0,2.0,5.0,1.0,1.0,1.0,5.0,5.0,4.0,3.0,0.0,0.0,244.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,56.0,93.0,2.0,47.0,42.0,63.0,84.0,44.0,6.0,30.0,33.0,55.0,36.0,18.0,10.0,11.0,33.0,7.0,29.0,10.0,8.0,1.0,11.0,6.0,12.0,4.0,1.0,0.0,752.0,866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,31.0,94.0,20.0,9.0,4.0,18.0,46.0,7.0,16.0,27.0,25.0,46.0,6.0,1.0,2.0,3.0,2.0,8.0,6.0,8.0,2.0,5.0,2.0,11.0,5.0,3.0,0.0,0.0,407.0,687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,1.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
