Jogador,Joel Pohjanpalo,Jesse Joronen,Francesco Zampano,Tanner Tessmann,Antonio Candela,Luca Ceppitelli,Pietro Ceccaroni,Dennis Johnsen,Przemysław Wiśniewski,Michael Svoboda,Andrea Carboni,Magnus Kofod Andersen,Ridgeciano Haps,Mikael Ellertsson,Gianluca Busio,Domen Črnigoj,Nicholas Pierini,Petko Hristov,Luca Fiordilino,Mickaël Cuisance,Andrija Novakovich,Tommaso Milanese,Marco Modolo,Mato Jajalo,Denis Cheryshev,Maximilian Ullmann,Bruno,Aaron Connolly,Niki Mäenpää,Riccardo Ciervo,Jack De Vries,Facundo Zabala,Marin Šverko,Andrea Beghetto,Harvey St Clair,Jay Enem,Bjarki Bjarkason,Lorenzo Busato,Mirza Hasanbegović,Kristófer Jónsson,Patrick Leal,Hilmir Mikaelsson,Filippo Neri,Afonso Peixoto,Daishawn Redan,Melvyn Remy,Tommaso Sperandio
Pos.,AT,G,ZG,LT,ZG,ZG,ZG,"AT,ZG",ZG,ZG,ZG,LT,ZG,LT,LT,LT,"AT,ZG",ZG,LT,LT,AT,LT,ZG,LT,"AT,LT",ZG,G,AT,G,"ZG,AT",AT,ZG,ZG,ZG,LT,ZG,LT,ZG,AT,LT,LT,AT,G,ZG,AT,ZG,G
Div.1,4.0,1.0,20.0,26.0,8.0,12.0,14.0,6.0,20.0,24.0,15.0,18.0,11.0,8.0,14.0,8.0,11.0,6.0,15.0,7.0,0.0,4.0,1.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,267.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,8.0,3.0,40.0,48.0,23.0,21.0,20.0,22.0,28.0,35.0,26.0,30.0,16.0,22.0,34.0,13.0,21.0,7.0,24.0,20.0,3.0,9.0,4.0,4.0,20.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,510.0,586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,500.0,333.0,500.0,542.0,348.0,571.0,700.0,273.0,714.0,686.0,577.0,600.0,688.0,364.0,412.0,615.0,524.0,857.0,625.0,350.0,0.0,444.0,250.0,500.0,400.0,1000.0,0.0,0.0,0.0,0.0,250.0,1000.0,0.0,0.0,0.0,0.0,524.0,544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,4.0,2.0,20.0,22.0,15.0,9.0,6.0,16.0,8.0,11.0,11.0,12.0,5.0,14.0,20.0,5.0,10.0,1.0,9.0,13.0,3.0,5.0,3.0,2.0,12.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,243.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,13.0,1.0,39.0,23.0,28.0,23.0,23.0,20.0,30.0,30.0,21.0,9.0,9.0,22.0,29.0,16.0,11.0,15.0,14.0,12.0,8.0,7.0,5.0,5.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,427.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,8.0,0.0,6.0,5.0,3.0,9.0,16.0,4.0,12.0,15.0,10.0,3.0,2.0,5.0,7.0,0.0,1.0,7.0,2.0,5.0,1.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,5.0,1.0,33.0,18.0,25.0,14.0,7.0,16.0,18.0,15.0,11.0,6.0,7.0,17.0,22.0,16.0,10.0,8.0,12.0,7.0,7.0,5.0,0.0,3.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,297.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,3.0,0.0,29.0,22.0,8.0,39.0,19.0,7.0,31.0,37.0,21.0,13.0,21.0,7.0,17.0,11.0,7.0,8.0,11.0,3.0,1.0,2.0,4.0,6.0,5.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,341.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,12.0,1.0,79.0,75.0,38.0,70.0,43.0,23.0,59.0,72.0,62.0,43.0,38.0,27.0,51.0,26.0,30.0,23.0,35.0,17.0,8.0,10.0,7.0,11.0,19.0,6.0,0.0,1.0,0.0,1.0,3.0,1.0,5.0,2.0,0.0,0.0,900.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,31.0,18.0,45.0,51.0,39.0,94.0,75.0,5.0,70.0,73.0,58.0,18.0,19.0,11.0,24.0,9.0,9.0,39.0,13.0,7.0,10.0,9.0,18.0,16.0,2.0,7.0,3.0,2.0,1.0,1.0,0.0,1.0,5.0,4.0,0.0,0.0,787.0,798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
