Jogador,Matìas Soulé,Caleb Okoli,Enzo Barrenechea,Stefano Turati,Simone Romagnoli,Luca Mazzitelli,Marco Brescianini,Walid Cheddira,Pol Lirola,Francesco Gelli,Ilario Monterisi,Nadir Zortea,Anthony Oyono,Emanuele Valeri,Riccardo Marchizza,Reinier,Abdou Harroui,Kaio Jorge,Michele Cerofolini,Marvin Cuni,Jaime Báez,Luca Garritano,Arijon Ibrahimović,Kevin Bonifazi,Demba Seck,Mateus Lusuardi,Mehdi Bourabia,Giuseppe Caso,Farés Ghedjemis,Giorgi Kvernadze,Gennaro Borrelli,Karlo Lulić,Luigi Canotto,Przemysław Szymiński,Pierluigi Frattali,Soufiane Bidaoui,Hamza Haoudi,Matjaž Kamenšek Pahič,Daniel Macej,Lorenzo Palmisani,İsak Vural
Pos.,"AT,LT",ZG,LT,G,ZG,LT,LT,AT,ZG,"LT,ZG",ZG,ZG,ZG,ZG,ZG,"LT,AT","LT,AT",AT,G,AT,"AT,LT","LT,ZG","AT,ZG",ZG,"AT,LT",ZG,LT,"AT,LT","AT,LT","AT,ZG",AT,LT,AT,LT,G,"AT,LT",LT,LT,ZG,G,LT
npxG+xAG,123.0,14.0,23.0,0.0,16.0,34.0,39.0,96.0,24.0,31.0,15.0,33.0,10.0,33.0,12.0,32.0,35.0,42.0,0.0,16.0,10.0,10.0,15.0,1.0,14.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,115.0,22.0,10.0,0.0,2.0,18.0,46.0,31.0,30.0,42.0,4.0,31.0,35.0,38.0,6.0,10.0,43.0,6.0,0.0,6.0,12.0,6.0,10.0,2.0,11.0,2.0,1.0,15.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,198.0,118.0,155.0,0.0,47.0,167.0,70.0,22.0,65.0,61.0,47.0,42.0,33.0,41.0,36.0,32.0,38.0,11.0,0.0,11.0,29.0,23.0,22.0,7.0,9.0,12.0,7.0,20.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,211.0,4.0,24.0,0.0,2.0,53.0,100.0,139.0,59.0,87.0,18.0,71.0,39.0,61.0,39.0,42.0,56.0,46.0,0.0,45.0,39.0,23.0,54.0,1.0,23.0,0.0,8.0,37.0,19.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,32.0,0.0,0.0,0.0,3.0,20.0,16.0,30.0,12.0,0.0,12.0,7.0,0.0,0.0,0.0,17.0,26.0,33.0,0.0,17.0,18.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,9.0,3.0,3.0,0.0,3.0,0.0,8.0,4.0,6.0,0.0,12.0,36.0,8.0,8.0,31.0,17.0,26.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,40.0,3.0,3.0,0.0,7.0,20.0,23.0,34.0,18.0,0.0,25.0,43.0,8.0,8.0,31.0,34.0,53.0,33.0,0.0,17.0,18.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,17.0,0.0,0.0,0.0,3.0,20.0,16.0,25.0,12.0,0.0,12.0,7.0,0.0,0.0,0.0,17.0,18.0,22.0,0.0,17.0,18.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,26.0,3.0,3.0,0.0,7.0,20.0,23.0,30.0,18.0,0.0,25.0,43.0,8.0,8.0,31.0,34.0,44.0,22.0,0.0,17.0,18.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,30.0,2.0,2.0,0.0,4.0,9.0,9.0,38.0,8.0,4.0,7.0,3.0,1.0,7.0,3.0,11.0,27.0,60.0,0.0,22.0,8.0,13.0,15.0,0.0,34.0,3.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
