Jogador,Bartłomiej Drągowski,Nikola Milenković,Dušan Vlahović,Germán Pezzella,Cristiano Biraghi,Gaetano Castrovilli,Sofyan Amrabat,Franck Ribéry,Giacomo Bonaventura,Martín Cáceres,Erick Pulgar,Lorenzo Venuti,Lucas Martínez Quarta,Igor,Christian Kouamé,Valentin Eysseric,José Callejón,Pol Lirola,Borja Valero,Federico Ceccherini,Federico Chiesa,Pietro Terracciano,Kévin Malcuit,Alfred Duncan,Maximiliano Olivera,Antonio Barreca,Patrick Cutrone,Aleksandr Kokorin,Riccardo Saponara,Cristóbal Montiel,Alessandro Bianco,Federico Brancolini,Lorenzo Chiti,Christian Dalle Mura,Eduard Dutu,Julián Illanes,Dimo Krastev,Louis Munteanu,Fabio Ponsi,Jacopo Ricco,Antonio Rosati
Pos.,G,ZG,AT,ZG,ZG,LT,LT,AT,LT,ZG,LT,ZG,ZG,ZG,AT,"LT,AT","AT,LT","ZG,AT","LT,AT",ZG,ZG,G,ZG,LT,ZG,ZG,AT,"AT,LT",LT,"LT,AT",LT,G,ZG,ZG,AT,ZG,LT,AT,ZG,G,G
xAG,0.0,0.6,2.2,0.5,6.7,2.5,0.6,5.8,3.0,1.2,1.8,1.9,0.3,0.1,1.2,0.6,1.1,0.7,0.1,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,0.0,45.0,160.0,18.0,86.0,55.0,11.0,84.0,57.0,30.0,26.0,21.0,18.0,4.0,43.0,18.0,15.0,8.0,3.0,0.0,15.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,25.0,36.0,2.0,91.0,74.0,38.0,96.0,49.0,26.0,6.0,36.0,31.0,27.0,12.0,14.0,13.0,19.0,12.0,0.0,13.0,0.0,12.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,0.0,123.0,31.0,46.0,117.0,108.0,151.0,109.0,93.0,104.0,94.0,60.0,70.0,78.0,16.0,33.0,25.0,21.0,29.0,4.0,8.0,0.0,8.0,10.0,1.0,6.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,16.0,213.0,3.0,225.0,124.0,46.0,138.0,91.0,60.0,12.0,98.0,9.0,12.0,86.0,45.0,41.0,41.0,15.0,0.0,16.0,0.0,9.0,2.0,0.0,9.0,22.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,9.0,65.0,3.0,3.0,19.0,0.0,8.0,12.0,8.0,4.0,0.0,6.0,0.0,9.0,25.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,3.0,3.0,9.0,0.0,16.0,12.0,0.0,25.0,8.0,8.0,13.0,5.0,0.0,0.0,9.0,0.0,14.0,18.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,3.0,12.0,74.0,3.0,19.0,31.0,0.0,34.0,20.0,16.0,18.0,5.0,6.0,0.0,18.0,25.0,14.0,18.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,9.0,46.0,3.0,3.0,19.0,0.0,8.0,12.0,8.0,4.0,0.0,6.0,0.0,9.0,25.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,3.0,12.0,55.0,3.0,19.0,31.0,0.0,34.0,20.0,16.0,18.0,5.0,6.0,0.0,18.0,25.0,14.0,18.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
