Jogador,Marco Silvestri,Walace,Roberto Pereyra,Nehuén Pérez,Jaka Bijol,Destiny Udogie,Rodrigo Becão,Sandi Lovrić,Beto,Isaac Success,Lazar Samardzic,Kingsley Ehizibue,Gerard Deulofeu,Tolgay Arslan,Jean-Victor Makengo,Enzo Ebosse,Adam Masina,Ilija Nestorovski,Florian Thauvin,Festy Ebosele,Marvin Zeegelaar,Bram Nuytinck,Brandon Soppy,Axel Guessand,James Abankwah,Simone Pafundi,Mato Jajalo,Vivaldo Semedo,Nicolò Cocetta,Leonardo Buta,Matteo Bassi,Filip Benković,Riccardo Castagnaviz,Alberto Centis,Daniele Padelli,Martin Palumbo,Edoardo Piana,Diego Russo
Pos.,G,LT,"ZG,LT",ZG,ZG,ZG,ZG,LT,AT,AT,LT,ZG,AT,LT,LT,ZG,ZG,"AT,LT","AT,LT",ZG,ZG,ZG,ZG,ZG,ZG,"LT,AT",LT,"AT,LT",ZG,ZG,LT,ZG,LT,LT,G,LT,G,LT
Terço de Ataque,0.0,9.0,3.0,3.0,0.0,5.0,3.0,8.0,7.0,1.0,4.0,6.0,2.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,60.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,2.0,41.0,16.0,39.0,16.0,34.0,40.0,25.0,4.0,3.0,17.0,29.0,5.0,14.0,5.0,9.0,6.0,5.0,2.0,4.0,3.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,326.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,3.0,90.0,44.0,55.0,27.0,59.0,53.0,43.0,17.0,8.0,43.0,45.0,15.0,39.0,9.0,13.0,15.0,11.0,13.0,10.0,4.0,8.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,632.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,667.0,456.0,364.0,709.0,593.0,576.0,755.0,581.0,235.0,375.0,395.0,644.0,333.0,359.0,556.0,692.0,400.0,455.0,154.0,400.0,750.0,500.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,516.0,515.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,1.0,49.0,28.0,16.0,11.0,25.0,13.0,18.0,13.0,5.0,26.0,16.0,10.0,25.0,4.0,4.0,9.0,6.0,11.0,6.0,1.0,4.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,306.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,0.0,47.0,20.0,53.0,41.0,34.0,44.0,25.0,18.0,13.0,13.0,21.0,8.0,19.0,8.0,27.0,11.0,6.0,5.0,5.0,2.0,6.0,4.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,437.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,0.0,12.0,5.0,23.0,25.0,6.0,24.0,2.0,3.0,2.0,0.0,3.0,1.0,0.0,2.0,6.0,4.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,128.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,0.0,35.0,15.0,30.0,16.0,28.0,20.0,23.0,15.0,11.0,13.0,18.0,7.0,19.0,6.0,21.0,7.0,5.0,5.0,5.0,2.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,309.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,1.0,51.0,16.0,35.0,29.0,36.0,26.0,26.0,6.0,4.0,11.0,10.0,2.0,12.0,9.0,11.0,10.0,2.0,2.0,2.0,3.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,314.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,3.0,133.0,52.0,112.0,68.0,107.0,96.0,66.0,22.0,12.0,44.0,57.0,10.0,41.0,25.0,26.0,20.0,9.0,4.0,17.0,11.0,12.0,2.0,4.0,1.0,9.0,0.0,0.0,1.0,1.0,965.0,987.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,15.0,51.0,28.0,106.0,165.0,25.0,68.0,21.0,30.0,18.0,16.0,42.0,1.0,9.0,3.0,29.0,28.0,10.0,2.0,5.0,5.0,22.0,1.0,3.0,5.0,0.0,2.0,1.0,1.0,0.0,712.0,593.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
