Jogador,Gianluigi Donnarumma,Franck Kessié,Theo Hernández,Davide Calabria,Hakan Çalhanoğlu,Simon Kjær,Alexis Saelemaekers,Rafael Leão,Alessio Romagnoli,Ante Rebić,Zlatan Ibrahimović,Sandro Tonali,Ismaël Bennacer,Fikayo Tomori,Brahim Díaz,Samu Castillejo,Diogo Dalot,Pierre Kalulu,Matteo Gabbia,Rade Krunić,Soualiho Meïté,Jens Petter Hauge,Mario Mandžukić,Lorenzo Colombo,Ciprian Tătărușanu,Mateo Musacchio,Daniel Maldini,Andrea Conti,Léo Duarte,Enrico Di Gesù,Antonio Donnarumma,Marco Frigerio,Andreas Jungdal,Diego Laxalt,Nikolaos Michelis,Antonio Mionić,Leonardo Moleri,Lucas Paquetá,Emil Roback,Luca Stanga,Riccardo Tonin
Pos.,G,LT,ZG,ZG,"LT,AT",ZG,AT,AT,ZG,AT,AT,LT,LT,ZG,"LT,AT",AT,ZG,ZG,ZG,"LT,AT",LT,AT,AT,AT,G,ZG,"AT,ZG",ZG,ZG,LT,G,LT,G,"ZG,LT",ZG,LT,G,"AT,LT",AT,ZG,LT
PB,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,1.0,8.0,9.0,7.0,4.0,3.0,7.0,5.0,7.0,4.0,2.0,1.0,4.0,0.0,2.0,5.0,5.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,14.0,4.3,1.3,4.8,1.6,2.4,6.0,2.8,5.9,16.2,0.4,0.9,0.8,3.4,2.5,0.4,0.9,0.5,0.7,0.3,0.9,1.0,0.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,3.8,4.3,1.3,4.0,1.6,2.4,6.0,2.8,5.6,11.9,0.4,0.9,0.8,3.4,2.5,0.4,0.9,0.5,0.7,0.3,0.9,1.0,0.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.0,2.9,4.9,1.6,9.1,1.2,3.1,4.4,0.8,5.4,1.8,1.3,0.6,0.0,1.5,0.7,0.9,0.7,0.0,1.0,0.5,1.5,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,0.0,67.0,92.0,29.0,131.0,28.0,56.0,104.0,36.0,110.0,137.0,17.0,15.0,8.0,49.0,32.0,13.0,16.0,5.0,17.0,8.0,24.0,11.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,64.0,146.0,60.0,88.0,8.0,43.0,77.0,7.0,43.0,31.0,22.0,20.0,4.0,43.0,41.0,28.0,18.0,2.0,9.0,12.0,10.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,1.0,171.0,133.0,169.0,175.0,73.0,59.0,45.0,62.0,52.0,61.0,84.0,82.0,41.0,43.0,41.0,39.0,40.0,20.0,27.0,28.0,25.0,5.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,57.0,189.0,110.0,193.0,1.0,169.0,147.0,0.0,146.0,116.0,15.0,12.0,2.0,69.0,90.0,47.0,28.0,0.0,10.0,11.0,51.0,5.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,36.0,21.0,7.0,14.0,0.0,9.0,28.0,5.0,56.0,90.0,0.0,0.0,6.0,29.0,8.0,8.0,12.0,0.0,12.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,0.0,11.0,15.0,3.0,31.0,8.0,18.0,28.0,5.0,20.0,12.0,0.0,14.0,0.0,22.0,0.0,8.0,12.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,0.0,47.0,37.0,10.0,45.0,8.0,27.0,56.0,9.0,76.0,102.0,0.0,14.0,6.0,51.0,8.0,17.0,25.0,0.0,37.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,6.0,21.0,7.0,10.0,0.0,9.0,28.0,5.0,56.0,72.0,0.0,0.0,6.0,29.0,8.0,8.0,12.0,0.0,12.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
