Jogador,Gianluca Mancini,Henrikh Mkhitaryan,Lorenzo Pellegrini,Rick Karsdorp,Roger Ibanez,Leonardo Spinazzola,Jordan Veretout,Bryan Cristante,Gonzalo Villar,Edin Džeko,Pau López,Pedro,Borja Mayoral,Bruno Peres,Marash Kumbulla,Antonio Mirante,Chris Smalling,Amadou Diawara,Davide Santon,Carles Pérez,Stephan El Shaarawy,Daniel Fuzato,Federico Fazio,Ebrima Darboe,Bryan Reynolds,Riccardo Calafiori,Juan Jesus,Javier Pastore,Justin Kluivert,Edoardo Bove,Nicola Zalewski,Mirko Antonucci,Pietro Boer,Riccardo Ciervo,Simone Farelli,Amir Feratovič,Tommaso Milanese,Robin Olsen,Suf Podgoreanu,Ruben Providence,Lamine Tall
Pos.,ZG,"LT,AT",LT,ZG,ZG,ZG,LT,"ZG,LT",LT,AT,G,"LT,AT",AT,ZG,ZG,G,ZG,LT,ZG,"LT,AT","LT,AT",G,ZG,LT,ZG,ZG,ZG,"LT,AT",LT,LT,LT,"AT,LT",G,AT,G,LT,LT,G,AT,AT,AT
PT,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,10.0,2.0,10.0,2.0,7.0,0.0,4.0,8.0,7.0,2.0,0.0,5.0,1.0,6.0,8.0,2.0,3.0,4.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,2.7,10.9,5.6,1.0,1.2,1.7,8.1,2.4,0.4,13.2,0.0,4.2,6.8,0.9,0.9,0.0,0.5,0.9,0.4,2.7,1.3,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,2.7,10.1,4.8,1.0,1.2,1.7,4.1,2.4,0.4,12.4,0.0,4.2,6.8,0.9,0.9,0.0,0.5,0.9,0.4,2.7,1.3,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.8,7.6,8.0,5.1,1.5,5.0,2.6,1.3,0.7,2.2,0.0,3.1,1.5,3.8,0.5,0.0,0.7,0.4,0.6,1.3,1.1,0.0,0.1,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,35.0,177.0,129.0,62.0,27.0,68.0,67.0,36.0,11.0,146.0,0.0,73.0,84.0,47.0,14.0,0.0,11.0,13.0,9.0,40.0,24.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,42.0,103.0,87.0,32.0,40.0,147.0,45.0,24.0,50.0,50.0,0.0,50.0,27.0,54.0,9.0,0.0,0.0,7.0,17.0,32.0,27.0,0.0,4.0,3.0,8.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,150.0,138.0,147.0,97.0,104.0,105.0,144.0,142.0,122.0,53.0,2.0,65.0,35.0,36.0,43.0,0.0,20.0,39.0,19.0,16.0,22.0,0.0,20.0,23.0,9.0,1.0,5.0,21.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,27.0,225.0,149.0,150.0,9.0,174.0,56.0,33.0,27.0,174.0,0.0,122.0,113.0,111.0,3.0,0.0,2.0,7.0,31.0,65.0,61.0,0.0,2.0,2.0,16.0,3.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,13.0,43.0,24.0,4.0,0.0,8.0,44.0,4.0,0.0,35.0,0.0,28.0,58.0,6.0,7.0,0.0,0.0,14.0,0.0,23.0,16.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,6.0,33.0,21.0,21.0,8.0,17.0,9.0,13.0,5.0,15.0,0.0,11.0,17.0,13.0,0.0,0.0,8.0,0.0,15.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,19.0,75.0,45.0,25.0,8.0,25.0,53.0,17.0,5.0,49.0,0.0,40.0,75.0,19.0,7.0,0.0,8.0,14.0,15.0,35.0,31.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,13.0,39.0,21.0,4.0,0.0,8.0,22.0,4.0,0.0,35.0,0.0,28.0,58.0,6.0,7.0,0.0,0.0,14.0,0.0,23.0,16.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,19.0,72.0,42.0,25.0,8.0,25.0,31.0,17.0,5.0,49.0,0.0,40.0,75.0,19.0,7.0,0.0,8.0,14.0,15.0,35.0,31.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,9.0,37.0,20.0,4.0,5.0,8.0,37.0,10.0,2.0,65.0,0.0,25.0,40.0,6.0,6.0,0.0,4.0,14.0,6.0,31.0,21.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,3.0,26.0,29.0,19.0,6.0,22.0,12.0,6.0,3.0,11.0,0.0,19.0,9.0,24.0,3.0,0.0,5.0,6.0,9.0,16.0,17.0,0.0,2.0,1.0,1.0,0.0,0.0,62.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
