Jogador,Leandro Chichizola,Enrico Del Prato,Dennis Man,Adrian Bernabe,Alessandro Circati,Ange-Yoan Bonny,Nahuel Estévez,Hernani,Adrian Benedyczak,Yordan Osorio,Woyo Coulibaly,Valentin Mihaila,Simon Sohm,Gianluca Di Chiara,Botond Balogh,Anthony Partipilo,Wylan Cyprien,Vasilios Zagaritis,Antonio Čolak,Cristian Ansaldi,Drissa Camara,Gabriel Charpentier,Edoardo Corvi,Lautaro Valenti,Antoine Hainaut,Tjaš Begić,Peter Amoran,Mohamed Haj,Federico Motti,Filippo Rinaldi,Dario Sits,Martin Turk
Pos.,G,ZG,AT,LT,ZG,AT,LT,LT,AT,ZG,ZG,"AT,LT",LT,ZG,ZG,AT,LT,ZG,"AT,LT",ZG,"AT,LT","AT,LT",G,ZG,"ZG,LT","LT,AT",ZG,AT,LT,G,AT,G
PB,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,3.0,5.0,2.0,6.0,8.0,5.0,6.0,5.0,4.0,2.0,5.0,4.0,1.0,4.0,4.0,3.0,3.0,2.0,1.0,0.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,1.2,11.0,4.0,0.9,4.6,1.1,1.5,10.8,0.1,0.7,4.9,2.1,0.3,0.2,2.4,0.3,0.0,1.9,0.2,1.2,3.3,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,1.2,8.6,4.0,0.9,3.8,1.0,1.5,5.3,0.1,0.7,4.9,2.1,0.3,0.2,2.4,0.3,0.0,1.9,0.2,1.2,3.3,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.6,2.2,5.3,3.5,0.0,4.2,2.0,2.3,1.6,0.1,1.1,1.8,2.8,1.4,0.0,2.1,0.4,0.6,0.1,0.3,0.9,0.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,6.0,34.0,139.0,75.0,9.0,80.0,30.0,38.0,69.0,2.0,18.0,67.0,49.0,17.0,2.0,46.0,7.0,6.0,20.0,4.0,21.0,40.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,24.0,111.0,60.0,6.0,58.0,8.0,41.0,25.0,4.0,52.0,33.0,52.0,38.0,2.0,22.0,10.0,16.0,7.0,21.0,19.0,14.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,2.0,178.0,142.0,272.0,66.0,64.0,130.0,104.0,50.0,52.0,81.0,52.0,81.0,104.0,36.0,38.0,41.0,37.0,13.0,31.0,20.0,9.0,0.0,5.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,52.0,272.0,114.0,4.0,206.0,21.0,76.0,144.0,4.0,51.0,163.0,80.0,63.0,0.0,113.0,4.0,32.0,51.0,26.0,43.0,57.0,0.0,0.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,6.0,42.0,28.0,4.0,23.0,12.0,12.0,49.0,0.0,0.0,34.0,0.0,0.0,0.0,27.0,23.0,0.0,41.0,0.0,39.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,3.0,9.0,23.0,10.0,0.0,32.0,4.0,12.0,15.0,5.0,10.0,11.0,23.0,6.0,0.0,9.0,0.0,0.0,0.0,18.0,0.0,42.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,3.0,15.0,65.0,38.0,4.0,54.0,16.0,25.0,64.0,5.0,10.0,45.0,23.0,6.0,0.0,36.0,23.0,0.0,41.0,18.0,39.0,97.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
