Jogador,Luca Valzania,Matteo Bianchetti,Michele Castagnetti,Emanuele Valeri,Gianluca Gaetano,Daniel Ciofani,Nadir Zortea,Emanuele Terranova,Marco Carnesecchi,Samuel Gustafson,Alessandro Fiordaliso,Luca Ravanelli,Cristian Buonaiuto,Luca Strizzolo,Paolo Bartolomei,Marco Pinato,Jaime Báez,Giacomo Volpe,Enrico Alfonso,Žan Celar,Filippo Nardi,Alessandro Crescenzi,Francesco Deli,Fabio Ceravolo,Luca Coccolo,Matteo Ghisolfi,Michele Fornasier,Andrea Zaccagno,Lorenzo Colombo,Leonardo Bia,Lorenzo Bernasconi,Stefano Cella,Emanuele De Bono,Stefano Girelli,Matteo Scarduzio,Luca Schirone
Pos.,"LT,AT",ZG,LT,ZG,"LT,AT",AT,"ZG,LT",ZG,G,LT,ZG,ZG,"AT,LT",AT,LT,"LT,AT","AT,LT",G,G,"AT,LT","LT,AT",ZG,"LT,AT","AT,LT",ZG,"LT,AT",ZG,G,"AT,LT",AT,ZG,LT,G,LT,G,LT
CrtsA,7.0,6.0,12.0,8.0,3.0,2.0,4.0,6.0,3.0,6.0,5.0,6.0,1.0,7.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,3.5,1.3,1.6,2.5,4.8,10.1,0.5,2.6,0.0,1.8,0.1,0.4,5.2,7.7,0.8,2.0,2.4,0.0,0.0,3.3,1.1,0.0,0.8,1.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,3.5,1.3,1.6,2.5,4.8,7.8,0.5,1.8,0.0,1.8,0.1,0.4,5.2,7.7,0.8,2.0,2.4,0.0,0.0,3.3,1.1,0.0,0.8,1.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,2.3,1.2,4.4,4.5,5.2,2.5,2.0,0.2,0.1,1.0,0.4,0.7,4.0,2.2,1.8,1.4,4.2,0.0,0.0,0.9,0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,58.0,25.0,60.0,70.0,99.0,103.0,25.0,21.0,1.0,28.0,4.0,11.0,92.0,99.0,26.0,34.0,66.0,0.0,0.0,42.0,16.0,2.0,10.0,13.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,59.0,24.0,17.0,129.0,48.0,16.0,69.0,5.0,0.0,39.0,14.0,3.0,71.0,10.0,14.0,22.0,38.0,0.0,0.0,17.0,10.0,18.0,7.0,11.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,183.0,151.0,169.0,137.0,88.0,40.0,81.0,73.0,0.0,127.0,56.0,59.0,58.0,26.0,74.0,57.0,59.0,0.0,0.0,21.0,26.0,17.0,14.0,8.0,13.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,122.0,20.0,31.0,142.0,165.0,145.0,88.0,4.0,0.0,44.0,21.0,2.0,171.0,89.0,28.0,78.0,109.0,0.0,0.0,107.0,27.0,19.0,25.0,53.0,2.0,6.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,15.0,0.0,4.0,7.0,24.0,46.0,0.0,5.0,0.0,0.0,0.0,0.0,20.0,47.0,0.0,14.0,8.0,0.0,0.0,16.0,15.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
