Jogador,Andrea Consigli,Gian Marco Ferrari,Manuel Locatelli,Domenico Berardi,Filip Đuričić,Maxime Lopez,Vlad Chiricheș,Rogério,Hamed Junior Traorè,Jeremie Boga,Marlon,Francesco Caputo,Mert Müldür,Jeremy Toljan,Pedro Obiang,Giorgos Kyriakopoulos,Grégoire Defrel,Giacomo Raspadori,Kaan Ayhan,Francesco Magnanelli,Mehdi Bourabia,Lukáš Haraslín,Federico Peluso,Gianluca Pegolo,Brian Oddei,Nicolás Schiappacasse,Federico Ricci,Isaac Karamoko,Stefano Turati,Federico Artioli,Andrea Ghion,Alessandro Mercati,Stefano Piccinini,Matteo Saccani,Luigi Samele,Gianluca Scamacca,Raul Steau,Samuele Vitale
Pos.,G,ZG,LT,AT,"LT,AT",LT,ZG,ZG,"LT,AT","AT,LT",ZG,AT,ZG,ZG,LT,ZG,"LT,AT","AT,LT",ZG,LT,LT,"AT,LT",ZG,G,"AT,LT",LT,AT,ZG,G,LT,LT,LT,ZG,ZG,AT,AT,LT,G
TklW,2.0,20.0,47.0,22.0,23.0,13.0,23.0,13.0,17.0,9.0,13.0,0.0,20.0,12.0,22.0,18.0,8.0,3.0,9.0,5.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,310.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,2.0,15.0,43.0,17.0,6.0,15.0,34.0,19.0,10.0,5.0,13.0,0.0,26.0,16.0,17.0,17.0,5.0,1.0,8.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,276.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,0.0,14.0,28.0,11.0,16.0,6.0,3.0,5.0,10.0,0.0,6.0,0.0,9.0,3.0,15.0,12.0,5.0,1.0,5.0,5.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,164.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,0.0,3.0,10.0,14.0,10.0,3.0,1.0,2.0,9.0,6.0,0.0,0.0,8.0,2.0,3.0,6.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,88.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,2.0,10.0,29.0,21.0,12.0,14.0,21.0,19.0,14.0,3.0,13.0,0.0,27.0,12.0,12.0,8.0,5.0,0.0,8.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,241.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,2.0,23.0,56.0,62.0,30.0,41.0,35.0,27.0,35.0,11.0,18.0,2.0,53.0,27.0,35.0,28.0,13.0,4.0,13.0,10.0,7.0,5.0,2.0,0.0,3.0,0.0,0.0,1.0,543.0,718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,1000.0,435.0,518.0,339.0,400.0,341.0,600.0,704.0,400.0,273.0,722.0,0.0,509.0,444.0,343.0,286.0,385.0,0.0,615.0,300.0,286.0,400.0,500.0,0.0,667.0,0.0,0.0,1000.0,444.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,0.0,13.0,27.0,41.0,18.0,27.0,14.0,8.0,21.0,8.0,5.0,2.0,26.0,15.0,23.0,20.0,8.0,4.0,5.0,7.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,302.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,0.0,46.0,35.0,23.0,20.0,9.0,31.0,26.0,27.0,10.0,23.0,4.0,17.0,15.0,26.0,16.0,9.0,13.0,9.0,6.0,14.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,383.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,0.0,37.0,15.0,1.0,2.0,0.0,21.0,5.0,3.0,0.0,17.0,0.0,1.0,7.0,7.0,5.0,0.0,5.0,5.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,141.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,0.0,9.0,20.0,22.0,18.0,9.0,10.0,21.0,24.0,10.0,6.0,4.0,16.0,8.0,19.0,11.0,9.0,8.0,4.0,4.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,242.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,0.0,50.0,51.0,26.0,9.0,16.0,50.0,31.0,18.0,8.0,27.0,1.0,36.0,13.0,22.0,15.0,7.0,2.0,16.0,13.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,426.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,2.0,82.0,132.0,68.0,41.0,40.0,88.0,57.0,47.0,19.0,46.0,1.0,79.0,34.0,57.0,50.0,20.0,7.0,31.0,20.0,18.0,8.0,4.0,0.0,2.0,0.0,0.0,1.0,954.0,1045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,14.0,100.0,65.0,34.0,12.0,10.0,59.0,53.0,9.0,7.0,44.0,3.0,41.0,28.0,27.0,42.0,5.0,9.0,33.0,10.0,8.0,2.0,12.0,1.0,1.0,0.0,0.0,0.0,629.0,631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,4.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
