Jogador,Andrea Consigli,Gian Marco Ferrari,Davide Frattesi,Maxime Lopez,Domenico Berardi,Giacomo Raspadori,Vlad Chiricheș,Gianluca Scamacca,Mert Müldür,Giorgos Kyriakopoulos,Hamed Junior Traorè,Rogério,Jeremy Toljan,Kaan Ayhan,Grégoire Defrel,Matheus Henrique,Filip Đuričić,Jeremie Boga,Abdou Harroui,Francesco Magnanelli,Francesco Caputo,Gianluca Pegolo,Ruan,Emil Ceide,Federico Peluso,Brian Oddei,Giacomo Satalino,Luigi Samele,Edoardo Goldaniga,Salim Abubakar,Christian Aucelli,Riccardo Ciervo,Lukáš Haraslín,Justin Kumi,Asan Mata,Yeferson Paz,Edoardo Pieragnolo,Filippo Romagna,Samuele Vitale,Gioele Zacchi
Pos.,G,ZG,LT,LT,AT,"LT,AT",ZG,AT,ZG,"ZG,AT","AT,LT",ZG,ZG,ZG,AT,LT,"LT,AT","AT,LT",LT,LT,AT,G,ZG,"AT,LT",ZG,AT,G,AT,"ZG,LT",LT,LT,AT,"AT,LT",LT,LT,ZG,ZG,ZG,G,G
PB,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,2.0,6.0,6.0,14.0,9.0,9.0,4.0,7.0,5.0,6.0,3.0,5.0,2.0,2.0,3.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,1.8,5.9,1.5,11.3,7.2,0.4,11.0,0.5,1.1,5.7,0.4,0.1,0.3,4.0,0.3,2.0,1.0,0.5,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,1.8,5.9,1.5,6.5,7.2,0.4,10.2,0.5,1.1,5.7,0.4,0.1,0.3,4.0,0.3,2.0,1.0,0.5,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.0,0.5,3.6,2.4,8.7,3.7,0.0,1.9,1.1,4.5,3.5,1.9,1.3,0.0,1.6,0.8,1.6,0.8,0.2,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,0.0,23.0,96.0,39.0,153.0,109.0,5.0,122.0,16.0,56.0,93.0,23.0,14.0,3.0,56.0,11.0,36.0,18.0,7.0,1.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,21.0,79.0,77.0,77.0,49.0,4.0,21.0,67.0,78.0,90.0,61.0,36.0,19.0,26.0,17.0,25.0,46.0,9.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,0.0,133.0,113.0,236.0,183.0,86.0,52.0,36.0,104.0,62.0,110.0,78.0,53.0,68.0,30.0,55.0,28.0,17.0,29.0,20.0,2.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,7.0,104.0,41.0,265.0,178.0,3.0,149.0,90.0,114.0,134.0,80.0,78.0,2.0,94.0,21.0,40.0,58.0,15.0,3.0,10.0,0.0,2.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,3.0,13.0,6.0,48.0,33.0,0.0,67.0,0.0,0.0,35.0,0.0,0.0,7.0,13.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,0.0,0.0,9.0,3.0,45.0,13.0,0.0,0.0,0.0,23.0,10.0,5.0,6.0,0.0,13.0,8.0,13.0,27.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,0.0,3.0,22.0,9.0,93.0,46.0,0.0,67.0,0.0,23.0,46.0,5.0,6.0,7.0,26.0,8.0,40.0,27.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,3.0,13.0,6.0,29.0,33.0,0.0,63.0,0.0,0.0,35.0,0.0,0.0,7.0,13.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,0.0,3.0,22.0,9.0,73.0,46.0,0.0,63.0,0.0,23.0,46.0,5.0,6.0,7.0,26.0,8.0,40.0,27.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,5.0,19.0,5.0,36.0,24.0,2.0,46.0,2.0,5.0,29.0,2.0,0.0,2.0,26.0,3.0,27.0,13.0,10.0,2.0,52.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,0.0,1.0,11.0,7.0,28.0,12.0,0.0,8.0,5.0,21.0,18.0,10.0,9.0,0.0,11.0,7.0,21.0,10.0,4.0,0.0,21.0,0.0,4.0,0.0,0.0,0.0,0.0,864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
