Jogador,Marco Silvestri,Davide Faraoni,Mattia Zaccagni,Antonín Barák,Federico Dimarco,Adrien Tameze,Darko Lazović,Federico Ceccherini,Paweł Dawidowicz,Koray Günter,Ivan Ilić,Giangiacomo Magnani,Miguel Veloso,Nikola Kalinić,Matteo Lovato,Kevin Lasagna,Eddie Salcedo,Samuel Di Carmine,Ebrima Colley,Daniel Bessa,Stefano Sturaro,Yıldırım Mert Çetin,Ivor Pandur,Alan Empereur,Andrea Favilli,Ronaldo Vieira,Kevin Rüegg,Andrea Danzi,Ľubomír Tupta,Destiny Udogie,Alessandro Berardi,Philip Ankhrah,Bruno Amione,Marco Benassi,Lorenzo Bertini,Salvatore Bocchetti,Nicola Borghetto,Bernardo Calabrese,Matteo Cancellieri,Nicolò Casale,Lucas Felippe,Matei Ilie,Mariusz Stępiński,Filippo Terracciano
Pos.,G,ZG,LT,LT,ZG,LT,"ZG,LT",ZG,ZG,ZG,LT,ZG,LT,AT,ZG,AT,"LT,AT",AT,"LT,AT",LT,LT,ZG,G,ZG,AT,"LT,ZG","ZG,LT",ZG,AT,"ZG,LT",G,LT,ZG,LT,AT,ZG,G,ZG,AT,ZG,LT,ZG,AT,ZG
Div.1,0.0,28.0,8.0,14.0,13.0,11.0,20.0,2.0,14.0,4.0,7.0,9.0,12.0,0.0,10.0,1.0,3.0,0.0,3.0,6.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,173.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,0.0,51.0,25.0,47.0,28.0,27.0,42.0,7.0,24.0,9.0,21.0,16.0,34.0,3.0,21.0,5.0,3.0,3.0,11.0,14.0,8.0,6.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,413.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,0.0,549.0,320.0,298.0,464.0,407.0,476.0,286.0,583.0,444.0,333.0,563.0,353.0,0.0,476.0,200.0,1000.0,0.0,273.0,429.0,250.0,333.0,0.0,0.0,667.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,419.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,0.0,23.0,17.0,33.0,15.0,16.0,22.0,5.0,10.0,5.0,14.0,7.0,22.0,3.0,11.0,4.0,0.0,3.0,8.0,8.0,6.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,0.0,48.0,28.0,26.0,18.0,31.0,17.0,15.0,28.0,27.0,17.0,25.0,12.0,6.0,20.0,12.0,6.0,1.0,6.0,5.0,5.0,7.0,0.0,1.0,2.0,4.0,3.0,0.0,0.0,3.0,0.0,1.0,374.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,0.0,17.0,4.0,7.0,9.0,8.0,7.0,8.0,19.0,21.0,5.0,16.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,0.0,31.0,24.0,19.0,9.0,23.0,10.0,7.0,9.0,6.0,12.0,9.0,11.0,6.0,10.0,11.0,6.0,1.0,6.0,4.0,4.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,230.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,0.0,49.0,27.0,12.0,47.0,32.0,20.0,40.0,27.0,70.0,27.0,44.0,12.0,1.0,37.0,1.0,6.0,0.0,6.0,2.0,5.0,14.0,0.0,6.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,492.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,0.0,111.0,54.0,42.0,79.0,71.0,49.0,56.0,69.0,90.0,53.0,70.0,36.0,6.0,58.0,8.0,12.0,1.0,17.0,17.0,9.0,22.0,0.0,6.0,3.0,5.0,2.0,3.0,0.0,8.0,0.0,0.0,957.0,972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,14.0,83.0,13.0,38.0,50.0,46.0,29.0,60.0,62.0,87.0,26.0,105.0,25.0,7.0,48.0,11.0,6.0,5.0,1.0,0.0,10.0,11.0,0.0,7.0,2.0,2.0,3.0,1.0,0.0,4.0,0.0,0.0,756.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
