Jogador,Emmanuel Gyasi,Ivan Provedel,Matteo Ricci,Giulio Maggiore,Claudio Terzi,M'Bala Nzola,Martin Erlic,Nahuel Estévez,Julian Chabot,Luca Vignali,Simone Bastoni,Riccardo Marchizza,Diego Farias,Tommaso Pobega,Kevin Agudelo,Ardian Ismajli,Salvador Ferrer,Daniele Verde,Lucien Agoume,Léo Sena,Roberto Piccoli,Jeroen Zoet,Riccardo Saponara,Andrey Galabinov,Jacopo Sala,Alessandro Deiola,Paolo Bartolomei,Gennaro Acampora,Juan Manuel Ramos,Cristian Dell'Orco,Rafael,Luca Mora,Elio Capradossi,Federico Mattiello,Giuseppe Mastinu,Nicolò Bertola,Axel Desjardins,Titas Krapikas,Niccolò Pietra
Pos.,AT,G,LT,LT,ZG,AT,ZG,LT,ZG,ZG,ZG,ZG,AT,LT,AT,ZG,ZG,AT,LT,LT,AT,G,"AT,LT",AT,ZG,LT,LT,"LT,AT",ZG,ZG,G,LT,ZG,ZG,AT,ZG,G,G,LT
PB,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,4.0,1.0,5.0,3.0,9.0,5.0,6.0,7.0,11.0,4.0,7.0,4.0,5.0,6.0,4.0,3.0,4.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,5.1,0.0,1.0,4.7,0.4,9.3,1.2,1.9,0.7,0.1,1.2,0.4,3.2,3.2,1.5,0.7,0.1,3.0,0.1,0.1,5.6,0.0,1.0,3.0,0.0,0.2,0.1,0.3,0.0,0.1,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0
npxG,5.1,0.0,1.0,4.7,0.4,6.2,1.2,1.9,0.7,0.1,1.2,0.4,3.2,3.2,1.5,0.7,0.1,3.0,0.1,0.1,5.6,0.0,1.0,2.2,0.0,0.2,0.1,0.3,0.0,0.1,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0
xAG,4.1,0.0,1.6,1.9,0.5,2.1,0.2,2.8,0.5,0.7,3.1,1.6,3.6,0.3,1.3,0.6,1.3,1.9,0.1,0.1,0.6,0.0,0.7,0.2,0.7,0.3,0.3,0.0,0.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,92.0,0.0,26.0,66.0,9.0,83.0,14.0,47.0,13.0,8.0,43.0,19.0,67.0,35.0,28.0,13.0,14.0,50.0,2.0,2.0,62.0,0.0,17.0,24.0,7.0,6.0,5.0,3.0,3.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,70.0,0.0,26.0,38.0,20.0,26.0,15.0,32.0,11.0,30.0,51.0,33.0,47.0,12.0,50.0,4.0,28.0,28.0,6.0,30.0,8.0,0.0,17.0,3.0,6.0,3.0,8.0,15.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PrgP,69.0,0.0,185.0,77.0,83.0,25.0,58.0,101.0,57.0,69.0,85.0,45.0,67.0,38.0,43.0,40.0,46.0,30.0,46.0,92.0,6.0,0.0,20.0,10.0,24.0,12.0,10.0,28.0,11.0,6.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
PrgR,250.0,0.0,21.0,94.0,1.0,119.0,2.0,80.0,4.0,57.0,78.0,84.0,131.0,40.0,82.0,0.0,49.0,88.0,7.0,12.0,44.0,0.0,30.0,18.0,12.0,16.0,14.0,19.0,13.0,2.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
Gols.1,13.0,0.0,0.0,12.0,5.0,52.0,15.0,0.0,5.0,0.0,6.0,0.0,24.0,44.0,7.0,7.0,0.0,55.0,0.0,0.0,64.0,0.0,46.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,19.0,0.0,8.0,4.0,5.0,14.0,5.0,15.0,5.0,0.0,41.0,12.0,12.0,0.0,13.0,7.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,28.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,32.0,0.0,8.0,16.0,10.0,66.0,20.0,15.0,11.0,0.0,47.0,12.0,36.0,44.0,20.0,14.0,8.0,64.0,0.0,0.0,64.0,0.0,46.0,84.0,0.0,0.0,28.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,13.0,0.0,0.0,12.0,5.0,33.0,15.0,0.0,5.0,0.0,6.0,0.0,24.0,44.0,7.0,7.0,0.0,55.0,0.0,0.0,64.0,0.0,46.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,32.0,0.0,8.0,16.0,10.0,47.0,20.0,15.0,11.0,0.0,47.0,12.0,36.0,44.0,20.0,14.0,8.0,64.0,0.0,0.0,64.0,0.0,46.0,84.0,0.0,0.0,28.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
