Jogador,Wladimiro Falcone,Federico Baschirotto,Marin Pongračić,Valentin Gendrey,Ylber Ramadani,Antonino Gallo,Nikola Krstović,Pontus Almqvist,Remi Oudin,Patrick Dorgu,Lameck Banda,Hamza Rafia,Alexis Blin,Mohamed Kaba,Joan Gonzàlez,Gabriel Strefezza,Roberto Piccoli,Nicola Sansone,Lorenzo Venuti,Ahmed Touba,Medon Berisha,Santiago Pierotti,Federico Di Francesco,Jeppe Corfitzen,Rareș-Cătălin Burnete,Marcin Listkowski,Alexandru Borbei,Federico Brancolini,Kastriot Dermaku,Sebastian Esposito,Giacomo Faticanti,Þórir Jóhann Helgason,Mats Lemmens,Youssef Maleh,Daniel Samek,Jasper Samooja,Zinedin Smajlovic,Joel Voelkerling Persson
Pos.,G,ZG,ZG,ZG,LT,ZG,AT,"AT,LT","LT,AT","ZG,LT",AT,LT,LT,LT,LT,AT,AT,"AT,LT",ZG,ZG,"AT,LT","LT,AT","AT,LT",AT,AT,AT,G,G,ZG,ZG,LT,LT,ZG,LT,ZG,G,ZG,AT
PrgP,1.0,96.0,134.0,116.0,121.0,125.0,52.0,32.0,79.0,49.0,22.0,46.0,60.0,60.0,49.0,54.0,19.0,36.0,16.0,2.0,7.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,3.0,7.0,86.0,14.0,101.0,126.0,137.0,82.0,86.0,136.0,37.0,11.0,32.0,41.0,81.0,72.0,75.0,15.0,1.0,3.0,20.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,0.0,0.0,6.0,3.0,0.0,27.0,9.0,15.0,12.0,13.0,7.0,0.0,0.0,7.0,8.0,33.0,23.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,0.0,3.0,0.0,9.0,0.0,11.0,4.0,4.0,10.0,0.0,27.0,0.0,11.0,0.0,7.0,0.0,0.0,23.0,0.0,0.0,0.0,90.0,0.0,0.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,0.0,3.0,0.0,15.0,3.0,11.0,30.0,13.0,25.0,12.0,40.0,7.0,11.0,0.0,14.0,8.0,33.0,47.0,0.0,0.0,0.0,90.0,600.0,0.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,0.0,0.0,6.0,3.0,0.0,23.0,9.0,15.0,12.0,13.0,7.0,0.0,0.0,7.0,0.0,26.0,23.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,0.0,3.0,0.0,15.0,3.0,11.0,27.0,13.0,25.0,12.0,40.0,7.0,11.0,0.0,14.0,0.0,26.0,47.0,0.0,0.0,0.0,90.0,600.0,0.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,5.0,3.0,5.0,3.0,2.0,44.0,10.0,9.0,11.0,24.0,6.0,6.0,8.0,8.0,20.0,42.0,33.0,2.0,1.0,7.0,22.0,53.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,0.0,2.0,1.0,5.0,2.0,16.0,11.0,12.0,28.0,9.0,13.0,6.0,4.0,6.0,7.0,9.0,6.0,15.0,7.0,0.0,11.0,47.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,0.0,7.0,4.0,10.0,5.0,18.0,55.0,22.0,37.0,21.0,37.0,12.0,10.0,13.0,15.0,29.0,48.0,48.0,10.0,1.0,18.0,69.0,53.0,0.0,71.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,0.0,4.0,3.0,5.0,3.0,2.0,35.0,10.0,9.0,11.0,24.0,6.0,6.0,8.0,8.0,14.0,37.0,33.0,2.0,1.0,7.0,22.0,53.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
