Jogador,Alberto Dossena,Antoine Makoumbou,Simone Scuffet,Nahitan Nández,Tommaso Augello,Gabriele Zappa,Matteo Prati,Zito Luvumbo,Alessandro Deiola,Ibrahim Sulemana,Yerry Mina,Gianluca Lapadula,Andrea Petagna,Jakub Jankto,Pantelis Hatzidiakos,Edoardo Goldaniga,Nicolas Viola,Gaetano Oristanio,Mateusz Wieteska,Adam Obert,Eldor Shomurodov,Gianluca Gaetano,Paulo Azzi,Boris Radunović,Leonardo Pavoletti,Marco Mancosu,Alessandro Di Pardo,Kingstone Mutandwa,Simone Aresti,Elio Capradossi,Jacopo Desogus,Christos Kourfalidis,Gastón Pereiro,Velizar-Ilia Svetozarov Iliev,Alessandro Vinciguerra
Pos.,ZG,LT,G,"LT,ZG",ZG,ZG,LT,"AT,LT",LT,LT,ZG,AT,AT,"LT,AT",ZG,ZG,"LT,AT","AT,LT",ZG,ZG,"AT,LT","AT,LT","ZG,LT",G,AT,"LT,AT","ZG,LT","AT,LT",G,ZG,AT,LT,"AT,LT",G,AT
Tent,48.0,30.0,2.0,64.0,25.0,41.0,42.0,15.0,47.0,27.0,19.0,10.0,2.0,20.0,17.0,10.0,17.0,17.0,10.0,17.0,10.0,7.0,18.0,0.0,1.0,2.0,3.0,4.0,0.0,525.0,457.0,0.0,0.0,0.0,0.0
Tkl%,667.0,500.0,500.0,422.0,640.0,707.0,619.0,267.0,383.0,630.0,684.0,100.0,500.0,400.0,588.0,400.0,412.0,294.0,300.0,471.0,600.0,286.0,500.0,0.0,0.0,500.0,0.0,250.0,0.0,503.0,481.0,0.0,0.0,0.0,0.0
Perdido,16.0,15.0,1.0,37.0,9.0,12.0,16.0,11.0,29.0,10.0,6.0,9.0,1.0,12.0,7.0,6.0,10.0,12.0,7.0,9.0,4.0,5.0,9.0,0.0,1.0,1.0,3.0,3.0,0.0,261.0,237.0,0.0,0.0,0.0,0.0
Bloqueios,50.0,23.0,1.0,25.0,21.0,29.0,29.0,19.0,16.0,24.0,23.0,2.0,6.0,5.0,14.0,11.0,9.0,11.0,10.0,13.0,5.0,4.0,11.0,0.0,2.0,0.0,9.0,1.0,0.0,373.0,355.0,0.0,0.0,0.0,0.0
TC,27.0,4.0,0.0,2.0,10.0,5.0,6.0,0.0,6.0,5.0,14.0,1.0,3.0,1.0,5.0,7.0,0.0,0.0,5.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,113.0,110.0,0.0,0.0,0.0,0.0
Passe,23.0,19.0,1.0,23.0,11.0,24.0,23.0,19.0,10.0,19.0,9.0,1.0,3.0,4.0,9.0,4.0,9.0,11.0,5.0,6.0,5.0,4.0,9.0,0.0,1.0,0.0,7.0,1.0,0.0,260.0,245.0,0.0,0.0,0.0,0.0
Crts,45.0,16.0,1.0,19.0,17.0,20.0,15.0,1.0,9.0,7.0,4.0,2.0,1.0,5.0,13.0,15.0,2.0,9.0,14.0,21.0,4.0,3.0,16.0,1.0,0.0,0.0,5.0,0.0,0.0,265.0,251.0,0.0,0.0,0.0,0.0
Tkl+Int,100.0,57.0,2.0,78.0,43.0,74.0,60.0,10.0,42.0,43.0,24.0,3.0,5.0,17.0,35.0,27.0,15.0,29.0,28.0,38.0,15.0,10.0,35.0,1.0,1.0,3.0,9.0,1.0,0.0,805.0,809.0,0.0,0.0,0.0,0.0
Def,172.0,27.0,9.0,32.0,89.0,75.0,26.0,2.0,37.0,23.0,77.0,5.0,4.0,20.0,30.0,37.0,6.0,8.0,48.0,41.0,4.0,4.0,23.0,1.0,7.0,0.0,7.0,2.0,0.0,816.0,809.0,0.0,0.0,0.0,0.0
Erros,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0
