Jogador,Giovanni Di Lorenzo,Andre-Frank Zambo Anguissa,Kim Min-jae,Stanislav Lobotka,Alex Meret,Victor Osimhen,Khvicha Kvaratskhelia,Amir Rrahmani,Piotr Zieliński,Mário Rui,Hirving Lozano,Mathías Olivera,Elif Elmas,Matteo Politano,Juan Jesus,Giacomo Raspadori,Tanguy Ndombele,Leo Skiri Østigård,Pierluigi Gollini,Alessio Zerbin,Bartosz Bereszyński,Diego Demme,Giovanni Simeone,Gianluca Gaetano,Karim Zedadka,Adam Ounas,Alessandro Zanoli,Hubert Idasiak,Davide Marfella,Salvatore Sirigu
Pos.,ZG,LT,ZG,LT,G,AT,AT,ZG,LT,ZG,AT,ZG,"AT,LT",AT,ZG,"AT,LT",LT,ZG,G,AT,ZG,LT,AT,LT,AT,AT,ZG,G,G,G
Terço de Ataque,8.0,8.0,1.0,13.0,0.0,7.0,23.0,0.0,5.0,4.0,8.0,7.0,4.0,4.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,106.0,71.0,0.0
Div.1,25.0,16.0,25.0,43.0,0.0,0.0,17.0,17.0,12.0,20.0,9.0,22.0,11.0,11.0,9.0,4.0,4.0,1.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,255.0,361.0,0.0
Tent,49.0,64.0,29.0,73.0,0.0,7.0,43.0,26.0,25.0,41.0,21.0,43.0,23.0,25.0,12.0,10.0,7.0,1.0,0.0,8.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,521.0,698.0,0.0
Tkl%,510.0,250.0,862.0,589.0,0.0,0.0,395.0,654.0,480.0,488.0,429.0,512.0,478.0,440.0,750.0,400.0,571.0,1000.0,0.0,500.0,1000.0,0.0,375.0,0.0,0.0,0.0,0.0,489.0,517.0,0.0
Perdido,24.0,48.0,4.0,30.0,0.0,7.0,26.0,9.0,13.0,21.0,12.0,21.0,12.0,14.0,3.0,6.0,3.0,0.0,0.0,4.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,266.0,337.0,0.0
Bloqueios,30.0,50.0,36.0,29.0,0.0,6.0,20.0,36.0,16.0,17.0,31.0,28.0,18.0,6.0,18.0,9.0,10.0,3.0,0.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,374.0,436.0,0.0
TC,9.0,4.0,26.0,7.0,0.0,1.0,0.0,20.0,5.0,4.0,0.0,2.0,2.0,0.0,11.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,96.0,161.0,0.0
Passe,21.0,46.0,10.0,22.0,0.0,5.0,20.0,16.0,11.0,13.0,31.0,26.0,16.0,6.0,7.0,9.0,9.0,0.0,0.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,278.0,275.0,0.0
Crts,30.0,49.0,41.0,23.0,0.0,6.0,5.0,14.0,14.0,15.0,15.0,22.0,11.0,7.0,10.0,4.0,7.0,6.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,287.0,331.0,0.0
Tkl+Int,90.0,102.0,96.0,106.0,0.0,16.0,48.0,47.0,31.0,49.0,39.0,61.0,35.0,25.0,26.0,14.0,21.0,10.0,0.0,12.0,6.0,1.0,13.0,6.0,0.0,1.0,1.0,856.0,1031.0,0.0
Def,60.0,25.0,123.0,16.0,6.0,29.0,6.0,79.0,7.0,24.0,6.0,26.0,5.0,7.0,29.0,4.0,7.0,18.0,1.0,2.0,3.0,1.0,4.0,0.0,1.0,0.0,1.0,490.0,726.0,0.0
Erros,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0
