Jogador,Danilo,Cristiano Ronaldo,Wojciech Szczęsny,Federico Chiesa,Rodrigo Bentancur,Juan Cuadrado,Adrien Rabiot,Matthijs de Ligt,Leonardo Bonucci,Álvaro Morata,Alex Sandro,Dejan Kulusevski,Weston McKennie,Giorgio Chiellini,Paulo Dybala,Arthur Melo,Aaron Ramsey,Merih Demiral,Federico Bernardeschi,Gianluigi Buffon,Gianluca Frabotta,Manolo Portanova,Douglas Costa,Mattia De Sciglio,Carlo Pinsoglio,Nicolò Fagioli,Alessandro Di Pardo,Félix Correia,Radu Drăgușin,Giacomo Vrioni,Marley Aké,Riccardo Capellini,Cosimo Marco Da Graca,Davide De Marino,Giovanni Garofani,Franco Israel,Alejandro Marqués,Hans Nicolussi Caviglia,Daouda Peeters,Hamza Rafia,Filippo Ranocchia,Daniele Rugani
Pos.,"ZG,LT",AT,G,"LT,ZG",LT,"ZG,LT",LT,ZG,ZG,AT,ZG,"LT,AT",LT,ZG,AT,LT,LT,ZG,"LT,ZG",G,"ZG,LT",LT,"LT,AT",ZG,G,LT,"AT,ZG",LT,ZG,AT,AT,ZG,AT,ZG,G,G,AT,LT,LT,LT,LT,ZG
xG,1.9,27.7,0.0,6.1,0.6,2.3,2.7,1.3,2.5,10.7,1.6,3.0,4.9,0.5,4.6,0.1,4.2,0.5,1.3,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,1.9,21.4,0.0,6.1,0.6,1.5,2.7,1.3,2.5,9.9,1.6,3.0,4.9,0.5,4.6,0.1,4.2,0.5,1.3,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,3.2,3.8,0.0,7.8,2.3,8.2,1.1,0.9,0.4,5.1,1.6,6.2,3.3,0.6,2.8,1.0,3.3,0.5,2.8,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,51.0,252.0,0.0,139.0,29.0,97.0,38.0,22.0,30.0,150.0,32.0,91.0,83.0,11.0,74.0,12.0,75.0,10.0,41.0,0.0,12.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,59.0,154.0,0.0,92.0,35.0,93.0,69.0,16.0,6.0,55.0,69.0,104.0,35.0,20.0,39.0,9.0,38.0,2.0,37.0,0.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,240.0,117.0,1.0,79.0,173.0,132.0,122.0,93.0,89.0,56.0,130.0,70.0,79.0,63.0,74.0,79.0,72.0,22.0,39.0,0.0,32.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,55.0,277.0,0.0,179.0,25.0,217.0,71.0,6.0,4.0,159.0,76.0,202.0,110.0,2.0,97.0,13.0,96.0,2.0,85.0,0.0,65.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,3.0,93.0,0.0,33.0,0.0,8.0,16.0,4.0,9.0,49.0,10.0,19.0,26.0,0.0,32.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,12.0,6.0,3.0,33.0,15.0,41.0,8.0,4.0,0.0,40.0,5.0,14.0,11.0,6.0,24.0,0.0,33.0,10.0,19.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,15.0,100.0,3.0,65.0,15.0,50.0,23.0,8.0,9.0,89.0,15.0,33.0,37.0,6.0,56.0,8.0,50.0,10.0,19.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,3.0,74.0,0.0,33.0,0.0,4.0,16.0,4.0,9.0,45.0,10.0,19.0,26.0,0.0,32.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,15.0,80.0,3.0,65.0,15.0,46.0,23.0,8.0,9.0,85.0,15.0,33.0,37.0,6.0,56.0,8.0,50.0,10.0,19.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,6.0,89.0,0.0,25.0,2.0,10.0,11.0,5.0,11.0,48.0,8.0,14.0,26.0,3.0,36.0,1.0,35.0,4.0,12.0,0.0,3.0,78.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,10.0,12.0,0.0,32.0,9.0,34.0,4.0,4.0,2.0,23.0,8.0,29.0,18.0,4.0,22.0,8.0,27.0,5.0,26.0,0.0,12.0,0.0,13.0,0.0,0.0,0.0,17.0,0.0,0.0,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,16.0,101.0,0.0,57.0,11.0,43.0,15.0,9.0,13.0,70.0,16.0,43.0,44.0,7.0,58.0,9.0,62.0,10.0,38.0,0.0,15.0,78.0,13.0,12.0,0.0,0.0,17.0,0.0,0.0,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,6.0,69.0,0.0,25.0,2.0,6.0,11.0,5.0,11.0,44.0,8.0,14.0,26.0,3.0,36.0,1.0,35.0,4.0,12.0,0.0,3.0,78.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,16.0,81.0,0.0,57.0,11.0,40.0,15.0,9.0,13.0,67.0,16.0,43.0,44.0,7.0,58.0,9.0,62.0,10.0,38.0,0.0,15.0,78.0,13.0,12.0,0.0,0.0,17.0,0.0,0.0,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,62.0,6.0,0.0,47.0,63.0,43.0,72.0,37.0,19.0,17.0,37.0,33.0,34.0,12.0,14.0,17.0,22.0,12.0,9.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
