Jogador,Vanja Milinković-Savić,Raoul Bellanova,Duván Zapata,Ricardo Rodríguez,Nikola Vlašić,Alessandro Buongiorno,Samuele Ricci,Adrien Tameze,Ivan Ilić,Antonio Sanabria,Valentino Lazaro,Karol Linetty,Mërgim Vojvoda,Adam Masina,Perr Schuurs,Koffi Djidji,Pietro Pellegri,Matteo Lovato,Demba Seck,Gvidas Gineitis,Nemanja Radonjić,David Okereke,Saba Sazonov,Luca Gemello,Brandon Soppy,Yann Karamoh,David Zima,Zanos Savva,Alessandro Dellavalle,Simone Verdi,Jacopo Antolini,Brian Bayeye,Côme Bianay Balcot,Matteo Brezzo,Aaron Ciammaglichella,Ali Dembélé,Emirhan İlkhan,Uroš Kabić,Vimoj Muntu Wa Mungu,Caumenan N'Guessan,Eybi Nije,Pietro Passador,Mihai Popa,Jonathan Silva
Pos.,G,ZG,AT,ZG,"LT,AT",ZG,LT,"ZG,LT",LT,"AT,LT","ZG,LT",LT,ZG,ZG,ZG,ZG,AT,ZG,LT,LT,"LT,AT","AT,LT",ZG,G,ZG,"LT,AT",ZG,"ZG,LT",ZG,AT,LT,ZG,ZG,G,LT,ZG,LT,LT,ZG,ZG,AT,G,G,LT
CrtsA,2.0,5.0,2.0,4.0,3.0,7.0,8.0,6.0,3.0,2.0,3.0,12.0,3.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,2.0,10.9,0.3,2.4,1.6,1.3,0.7,2.1,9.3,1.7,0.5,0.4,0.2,0.7,0.1,1.0,0.0,0.3,0.4,1.7,0.2,0.2,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,2.0,10.9,0.3,2.4,1.6,1.3,0.7,2.1,7.7,1.7,0.5,0.4,0.2,0.7,0.1,1.0,0.0,0.3,0.4,1.7,0.2,0.2,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.0,5.0,3.0,1.4,2.9,0.1,2.3,2.2,5.0,1.4,2.9,0.8,1.4,0.2,0.0,0.0,0.3,0.0,0.1,0.5,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,0.0,71.0,139.0,17.0,53.0,17.0,36.0,29.0,71.0,91.0,47.0,14.0,18.0,4.0,7.0,1.0,14.0,0.0,5.0,9.0,19.0,4.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,141.0,74.0,61.0,67.0,14.0,47.0,22.0,49.0,19.0,53.0,31.0,30.0,3.0,9.0,4.0,14.0,0.0,23.0,9.0,11.0,8.0,0.0,0.0,9.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,0.0,98.0,52.0,127.0,150.0,62.0,122.0,90.0,138.0,57.0,94.0,87.0,91.0,42.0,19.0,19.0,8.0,4.0,12.0,25.0,7.0,7.0,8.0,0.0,6.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,202.0,242.0,40.0,174.0,10.0,73.0,39.0,52.0,109.0,106.0,25.0,72.0,6.0,4.0,3.0,52.0,0.0,25.0,12.0,24.0,23.0,0.0,0.0,3.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,3.0,37.0,3.0,10.0,11.0,4.0,0.0,13.0,21.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
