Jogador,Salvatore Esposito,Dimitris Nikolaou,Jeroen Zoet,Salvatore Elia,Daniele Verde,Filippo Bandinelli,Francesco Cassata,Kelvin Amian,Francesco Esposito,Petko Hristov,Aleš Matějů,Mirko Antonucci,Ádám Nagy,Rachid Kouda,Bartłomiej Drągowski,Nicolò Bertola,Arkadiusz Reca,Lukas Mühl,Diego Falcinelli,Luca Moro,Luca Vignali,Szymon Żurkowski,Giuseppe Di Serio,Filip Jagiełło,Iva Gelashvili,Albin Ekdal,Pietro Candelari,Tio Cipot,João Moutinho,Niccolò Pietra,Gregorio Tanco,Simone Bastoni,Laurens Serpe,Raimonds Krollis,Przemysław Wiśniewski,Giovanni Corradini,Gian Crespi,Christian Cugnata,Roko Jureškin,Oskar Lachowicz,Diego Mascardi,Petar Zovko
Pos.,LT,ZG,G,ZG,"LT,AT",LT,"LT,ZG",ZG,AT,ZG,ZG,"AT,LT",LT,"LT,AT",G,ZG,ZG,ZG,AT,"AT,LT","ZG,LT",LT,AT,"LT,AT",ZG,LT,"ZG,LT","AT,LT",ZG,"LT,ZG",ZG,ZG,ZG,"AT,LT",ZG,LT,G,ZG,LT,LT,G,G
PB,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,8.0,9.0,0.0,5.0,3.0,6.0,11.0,4.0,4.0,3.0,4.0,3.0,3.0,8.0,2.0,5.0,2.0,4.0,3.0,3.0,4.0,6.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,2.4,0.5,0.0,0.9,6.7,1.4,0.7,1.4,5.7,1.9,0.8,1.8,0.4,4.4,0.0,1.5,2.2,0.1,2.0,4.1,1.6,0.7,1.2,0.5,0.4,0.2,0.3,0.0,0.0,0.1,0.0,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,1.6,0.5,0.0,0.9,3.6,1.4,0.7,1.4,5.4,1.9,0.8,1.8,0.4,4.4,0.0,1.5,1.3,0.1,2.0,2.6,1.6,0.7,1.2,0.5,0.4,0.2,0.3,0.0,0.0,0.1,0.0,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,6.1,0.3,0.0,2.5,3.7,2.7,1.1,0.3,1.8,0.1,0.3,1.1,0.4,1.6,0.0,0.3,1.9,0.0,0.7,0.7,0.2,1.0,0.8,1.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,77.0,8.0,0.0,34.0,73.0,41.0,18.0,17.0,72.0,20.0,11.0,30.0,7.0,59.0,0.0,18.0,32.0,1.0,27.0,33.0,18.0,16.0,20.0,16.0,4.0,4.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,40.0,25.0,0.0,76.0,49.0,63.0,37.0,38.0,12.0,1.0,21.0,35.0,9.0,44.0,0.0,6.0,24.0,3.0,12.0,7.0,10.0,29.0,8.0,11.0,2.0,5.0,4.0,6.0,4.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,280.0,138.0,1.0,76.0,96.0,133.0,92.0,91.0,39.0,27.0,66.0,34.0,62.0,56.0,0.0,35.0,32.0,21.0,15.0,3.0,34.0,39.0,6.0,46.0,5.0,24.0,3.0,4.0,5.0,7.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,54.0,20.0,0.0,160.0,179.0,100.0,84.0,39.0,114.0,3.0,33.0,109.0,23.0,115.0,0.0,2.0,54.0,0.0,74.0,68.0,37.0,43.0,43.0,34.0,0.0,7.0,19.0,24.0,6.0,2.0,0.0,5.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,3.0,0.0,0.0,4.0,32.0,0.0,0.0,0.0,15.0,17.0,6.0,7.0,0.0,13.0,0.0,8.0,34.0,9.0,0.0,36.0,12.0,0.0,43.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,14.0,3.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,19.0,0.0,12.0,14.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
