Jogador,Tommaso Augello,Tomás Rincón,Mehdi Léris,Manolo Gabbiadini,Filip Đuričić,Emil Audero,Bruno Amione,Harry Winks,Bram Nuytinck,Alessandro Zanoli,Omar Colley,Bartosz Bereszyński,Sam Lammers,Francesco Caputo,Abdelhamid Sabiri,Jeison Murillo,Alex Ferrari,Nicola Ravaglia,Mickaël Cuisance,Ronaldo Vieira,Koray Günter,Gonzalo Villar,Fabio Quagliarella,Valerio Verre,Nicola Murru,Martin Turk,Daniele Montevago,Marios Oikonomou,Gerard Yepes,Flavio Paoletti,Jesé,Ignacio Pussetto,Fabio Depaoli,Emirhan İlkhan,Lorenzo Malagrida,Manuel De Luca,Andrea Conti,Mihailo Ivanović,Samuel Ntanda,Telasco Segovia,Nikita Contini Baranovsky,Maxime Leverbe,Arttu Lötjönen,Elia Tantalocchi,Simone Trimboli,Lorenzo Villa,Federico Zorzi
Pos.,ZG,LT,"LT,ZG","AT,LT","LT,AT",G,ZG,LT,ZG,ZG,ZG,ZG,AT,AT,"LT,AT",ZG,ZG,G,LT,LT,ZG,LT,AT,LT,ZG,G,AT,ZG,LT,LT,AT,"LT,ZG","ZG,LT",LT,"LT,ZG","AT,LT",ZG,AT,LT,LT,G,ZG,ZG,G,LT,ZG,G
Terço Central,2.0,26.0,24.0,9.0,20.0,0.0,14.0,18.0,21.0,6.0,7.0,11.0,7.0,0.0,9.0,6.0,2.0,0.0,5.0,12.0,4.0,8.0,1.0,5.0,8.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,234.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,2.0,8.0,9.0,6.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,59.0,79.0,0.0,0.0,0.0,0.0,0.0
Div.1,9.0,29.0,23.0,9.0,14.0,0.0,19.0,14.0,23.0,8.0,9.0,17.0,6.0,0.0,4.0,17.0,4.0,0.0,5.0,10.0,6.0,7.0,1.0,8.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,261.0,222.0,0.0,0.0,0.0,0.0,0.0
Tent,20.0,61.0,55.0,23.0,32.0,2.0,43.0,43.0,34.0,17.0,12.0,26.0,15.0,3.0,13.0,26.0,8.0,1.0,23.0,13.0,9.0,15.0,7.0,17.0,13.0,0.0,1.0,3.0,3.0,5.0,1.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,558.0,482.0,0.0,0.0,0.0,0.0,0.0
Tkl%,450.0,475.0,418.0,391.0,438.0,0.0,442.0,326.0,676.0,471.0,750.0,654.0,400.0,0.0,308.0,654.0,500.0,0.0,217.0,769.0,667.0,467.0,143.0,471.0,538.0,0.0,0.0,333.0,333.0,200.0,0.0,750.0,750.0,667.0,333.0,0.0,0.0,0.0,0.0,0.0,468.0,461.0,0.0,0.0,0.0,0.0,0.0
Perdido,11.0,32.0,32.0,14.0,18.0,2.0,24.0,29.0,11.0,9.0,3.0,9.0,9.0,3.0,9.0,9.0,4.0,1.0,18.0,3.0,3.0,8.0,6.0,9.0,6.0,0.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,297.0,260.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,23.0,37.0,38.0,16.0,19.0,0.0,26.0,14.0,36.0,19.0,9.0,18.0,10.0,0.0,18.0,22.0,21.0,0.0,10.0,15.0,10.0,11.0,5.0,9.0,17.0,0.0,2.0,5.0,3.0,1.0,3.0,4.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,428.0,431.0,0.0,0.0,0.0,0.0,0.0
TC,7.0,7.0,6.0,2.0,6.0,0.0,11.0,8.0,21.0,15.0,5.0,4.0,3.0,0.0,4.0,14.0,10.0,0.0,0.0,5.0,5.0,3.0,1.0,1.0,7.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,99.0,0.0,0.0,0.0,0.0,0.0
Passe,16.0,30.0,32.0,14.0,13.0,0.0,15.0,6.0,15.0,4.0,4.0,14.0,7.0,0.0,14.0,8.0,11.0,0.0,10.0,10.0,5.0,8.0,4.0,8.0,10.0,0.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,276.0,332.0,0.0,0.0,0.0,0.0,0.0
Crts,17.0,30.0,27.0,6.0,7.0,0.0,25.0,24.0,23.0,12.0,22.0,21.0,6.0,1.0,2.0,8.0,19.0,0.0,5.0,13.0,11.0,4.0,0.0,9.0,10.0,0.0,0.0,4.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,317.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,34.0,86.0,90.0,29.0,50.0,0.0,75.0,51.0,77.0,34.0,39.0,49.0,18.0,4.0,20.0,30.0,28.0,0.0,18.0,31.0,21.0,17.0,2.0,23.0,34.0,0.0,1.0,7.0,9.0,7.0,3.0,6.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,906.0,874.0,0.0,0.0,0.0,0.0,0.0
Def,61.0,18.0,34.0,25.0,8.0,7.0,62.0,24.0,84.0,39.0,69.0,25.0,11.0,3.0,5.0,39.0,25.0,7.0,4.0,10.0,46.0,9.0,9.0,3.0,21.0,1.0,1.0,13.0,3.0,9.0,2.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,688.0,649.0,0.0,0.0,0.0,0.0,0.0
Erros,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0
