Jogador,Gabriel,Fabio Lucioni,Massimo Coda,Liam Henderson,Biagio Meccariello,Žan Majer,Marco Mancosu,Panagiotis Tachtsidis,Mariusz Stępiński,John Björkengren,Claud Adjapong,Morten Hjulmand,Leonard Zuta,Christian Maggio,Antonino Gallo,Luca Paganini,Stefano Pettinari,Marco Calderoni,Marcin Listkowski,Fabio Pisacane,Kastriot Dermaku,Pablo Rodríguez,Filippo Falco,Boban Nikolov,Jacopo Petriccione,Güven Yalçın,Sergio Maselli,Edgaras Dubickas,Simone Lo Faso,Roberto Pierno,Marco Bleve,Alexandru Borbei,Mattia Felici,Luigi Gianfreda,Gianmarco Mancarella,Joakim Milli,Ilario Monterisi,Samuele Oltremarini,Luca Rossettini,Massimo Schirone,Mauro Vigorito
Pos.,G,ZG,AT,LT,ZG,LT,LT,LT,AT,LT,ZG,LT,ZG,ZG,ZG,"LT,ZG",AT,ZG,"LT,AT",ZG,ZG,AT,AT,LT,LT,"AT,LT",LT,AT,AT,LT,G,G,LT,ZG,LT,G,ZG,AT,ZG,LT,G
Div.1,0.0,7.0,2.0,13.0,17.0,17.0,7.0,22.0,2.0,13.0,9.0,9.0,12.0,11.0,12.0,7.0,2.0,9.0,3.0,5.0,1.0,3.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,192.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,1.0,15.0,16.0,28.0,23.0,36.0,24.0,43.0,6.0,25.0,17.0,20.0,17.0,25.0,21.0,19.0,11.0,15.0,11.0,6.0,1.0,8.0,6.0,7.0,2.0,1.0,3.0,2.0,0.0,0.0,409.0,488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,0.0,467.0,125.0,464.0,739.0,472.0,292.0,512.0,333.0,520.0,529.0,450.0,706.0,440.0,571.0,368.0,182.0,600.0,273.0,833.0,1000.0,375.0,167.0,571.0,1000.0,0.0,667.0,0.0,0.0,0.0,469.0,422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,1.0,8.0,14.0,15.0,6.0,19.0,17.0,21.0,4.0,12.0,8.0,11.0,5.0,14.0,9.0,12.0,9.0,6.0,8.0,1.0,0.0,5.0,5.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,217.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,1.0,38.0,10.0,26.0,34.0,36.0,13.0,24.0,12.0,31.0,16.0,16.0,23.0,18.0,18.0,23.0,9.0,13.0,6.0,9.0,14.0,7.0,0.0,4.0,1.0,2.0,2.0,1.0,1.0,0.0,408.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,0.0,30.0,0.0,4.0,15.0,3.0,2.0,6.0,4.0,5.0,3.0,7.0,6.0,4.0,4.0,5.0,1.0,5.0,0.0,4.0,11.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,122.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,1.0,8.0,10.0,22.0,19.0,33.0,11.0,18.0,8.0,26.0,13.0,9.0,17.0,14.0,14.0,18.0,8.0,8.0,6.0,5.0,3.0,7.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,286.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,1.0,64.0,8.0,6.0,84.0,24.0,14.0,42.0,4.0,16.0,27.0,34.0,32.0,18.0,19.0,16.0,2.0,15.0,5.0,6.0,12.0,4.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,459.0,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,2.0,96.0,20.0,29.0,123.0,78.0,34.0,97.0,10.0,43.0,44.0,62.0,59.0,46.0,40.0,26.0,6.0,24.0,12.0,15.0,20.0,12.0,4.0,13.0,4.0,0.0,6.0,1.0,1.0,1.0,928.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,15.0,137.0,15.0,13.0,116.0,18.0,6.0,24.0,12.0,9.0,30.0,24.0,28.0,37.0,26.0,17.0,2.0,21.0,4.0,28.0,20.0,0.0,0.0,14.0,0.0,0.0,1.0,2.0,0.0,0.0,619.0,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
