Jogador,Antonio Candreva,Bartosz Bereszyński,Morten Thorsby,Francesco Caputo,Omar Colley,Emil Audero,Tommaso Augello,Alex Ferrari,Maya Yoshida,Fabio Quagliarella,Albin Ekdal,Manolo Gabbiadini,Tomás Rincón,Nicola Murru,Adrien Silva,Stefano Sensi,Abdelhamid Sabiri,Wladimiro Falcone,Kristoffer Askildsen,Mikkel Damsgaard,Valerio Verre,Radu Drăgușin,Ronaldo Vieira,Julian Chabot,Giangiacomo Magnani,Andrea Conti,Riccardo Ciervo,Fabio Depaoli,Ernesto Torregrossa,Simone Trimboli,Sebastian Giovinco,Vladyslav Supriaha,Gerard Yepes,Nicola Ravaglia,Giovanni Bonfanti,Lorenzo Di Stefano,Mohammed Ihattaren,Francesco Migliardi,Daniele Montevago,Ivan Saio,Marco Somma,Lorenzo Tonelli
Pos.,"LT,AT",ZG,LT,AT,ZG,G,ZG,ZG,ZG,AT,LT,"AT,LT",LT,ZG,LT,"LT,AT","LT,AT",G,LT,"LT,AT","LT,AT",ZG,LT,ZG,ZG,"ZG,LT","LT,ZG","LT,ZG",AT,LT,LT,AT,"LT,ZG",G,ZG,AT,LT,ZG,AT,G,ZG,ZG
PB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,6.0,12.0,10.0,0.0,6.0,2.0,0.0,4.0,2.0,2.0,11.0,3.0,3.0,5.0,3.0,1.0,3.0,2.0,5.0,1.0,0.0,1.0,3.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,5.8,0.5,3.2,10.3,1.2,0.0,0.4,0.6,1.0,4.3,0.9,3.9,0.3,0.1,0.3,1.1,1.4,0.0,0.4,0.6,0.8,0.2,0.1,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,4.2,0.5,3.2,9.3,1.2,0.0,0.4,0.6,1.0,3.5,0.9,3.9,0.3,0.1,0.3,1.1,1.4,0.0,0.4,0.6,0.8,0.2,0.1,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,7.2,1.8,1.1,3.2,0.0,0.5,1.9,0.0,1.9,1.6,0.3,2.0,0.1,0.4,0.4,0.8,1.6,0.0,0.1,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,114.0,23.0,43.0,125.0,12.0,5.0,23.0,6.0,29.0,51.0,12.0,59.0,4.0,5.0,7.0,19.0,30.0,0.0,5.0,10.0,10.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,105.0,52.0,18.0,30.0,12.0,0.0,60.0,7.0,7.0,17.0,10.0,13.0,12.0,20.0,14.0,16.0,13.0,0.0,5.0,11.0,12.0,6.0,8.0,0.0,2.0,3.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,201.0,105.0,88.0,32.0,83.0,0.0,90.0,39.0,57.0,39.0,62.0,29.0,46.0,32.0,57.0,34.0,35.0,0.0,17.0,29.0,34.0,13.0,13.0,21.0,3.0,2.0,6.0,5.0,4.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,223.0,108.0,51.0,196.0,4.0,0.0,100.0,5.0,5.0,140.0,20.0,57.0,19.0,30.0,14.0,24.0,36.0,0.0,11.0,40.0,24.0,10.0,5.0,1.0,0.0,13.0,12.0,6.0,14.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,20.0,0.0,9.0,35.0,0.0,0.0,4.0,5.0,10.0,22.0,5.0,47.0,0.0,9.0,0.0,12.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,29.0,9.0,3.0,10.0,0.0,0.0,4.0,0.0,15.0,11.0,0.0,16.0,0.0,0.0,8.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,49.0,9.0,12.0,45.0,0.0,0.0,8.0,5.0,25.0,32.0,5.0,63.0,0.0,9.0,8.0,12.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,17.0,0.0,9.0,35.0,0.0,0.0,4.0,5.0,10.0,16.0,5.0,47.0,0.0,9.0,0.0,12.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,46.0,9.0,12.0,45.0,0.0,0.0,8.0,5.0,25.0,27.0,5.0,63.0,0.0,9.0,8.0,12.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,17.0,1.0,10.0,33.0,4.0,0.0,1.0,3.0,5.0,23.0,5.0,31.0,2.0,1.0,3.0,13.0,14.0,0.0,4.0,9.0,17.0,3.0,2.0,1.0,0.0,14.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,21.0,5.0,3.0,10.0,0.0,2.0,7.0,0.0,9.0,9.0,1.0,16.0,1.0,4.0,3.0,10.0,16.0,0.0,2.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,38.0,7.0,13.0,43.0,4.0,2.0,9.0,3.0,14.0,32.0,6.0,46.0,3.0,5.0,6.0,23.0,31.0,0.0,6.0,16.0,22.0,5.0,2.0,1.0,0.0,14.0,12.0,0.0,6.0,50.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,12.0,1.0,10.0,30.0,4.0,0.0,1.0,3.0,5.0,19.0,5.0,31.0,2.0,1.0,3.0,13.0,14.0,0.0,4.0,9.0,17.0,3.0,2.0,1.0,0.0,14.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
