Jogador,Gleison Bremer,Andrea Belotti,Tomás Rincón,Salvatore Sirigu,Saša Lukić,Armando Izzo,Lyanco,Cristian Ansaldi,Wilfried Singo,Karol Linetty,Simone Verdi,Rolando Mandragora,Mërgim Vojvoda,Nicolas Nkoulou,Simone Zaza,Ricardo Rodríguez,Antonio Sanabria,Soualiho Meïté,Alessandro Buongiorno,Nicola Murru,Amer Gojak,Vanja Milinković-Savić,Federico Bonazzoli,Daniele Baselli,Álex Berenguer,Jacopo Segre,Samir Ujkani,Simone Edera,Vincenzo Millico,Christian Celesia,Iago Falque,Erick Ferigra,Jean Freddi Greco,Krisztofer Horváth,Ibrahim Karamoko,Altin Kryeziu,Nicola Rauti,Antonio Rosati,Razvan Sava,Samuele Vianni
Pos.,ZG,AT,LT,G,LT,ZG,ZG,"ZG,AT",ZG,LT,"LT,AT",LT,"ZG,AT",ZG,AT,ZG,AT,LT,ZG,ZG,"LT,AT",G,AT,LT,LT,LT,G,"ZG,LT","AT,LT",LT,"AT,LT",ZG,LT,LT,LT,LT,AT,G,G,AT
xG,3.2,13.7,1.3,0.0,1.8,1.5,1.0,1.9,1.2,1.1,3.5,2.8,1.1,0.5,7.5,0.6,3.3,0.7,0.3,0.4,0.8,0.0,1.3,0.3,0.4,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,3.2,9.8,1.3,0.0,1.8,1.5,1.0,1.1,1.2,1.1,3.5,2.8,1.1,0.5,7.5,0.6,3.3,0.7,0.3,0.4,0.8,0.0,1.3,0.3,0.4,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.4,7.0,1.9,0.0,1.2,0.3,0.5,5.0,2.8,1.0,5.7,0.7,0.7,0.1,1.7,0.2,0.6,0.3,0.0,0.2,0.3,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,36.0,168.0,33.0,0.0,30.0,18.0,15.0,61.0,41.0,21.0,92.0,35.0,18.0,5.0,92.0,8.0,39.0,10.0,3.0,7.0,12.0,0.0,21.0,10.0,4.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,28.0,81.0,30.0,0.0,54.0,35.0,16.0,91.0,73.0,27.0,52.0,8.0,17.0,2.0,8.0,19.0,11.0,11.0,9.0,15.0,8.0,0.0,7.0,7.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,81.0,64.0,125.0,0.0,72.0,103.0,69.0,66.0,62.0,58.0,68.0,61.0,46.0,25.0,12.0,49.0,20.0,35.0,30.0,26.0,15.0,0.0,15.0,25.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,9.0,214.0,52.0,0.0,83.0,20.0,4.0,93.0,100.0,60.0,87.0,28.0,70.0,0.0,69.0,32.0,48.0,22.0,3.0,37.0,40.0,0.0,36.0,9.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,15.0,41.0,3.0,0.0,13.0,9.0,0.0,5.0,5.0,5.0,6.0,18.0,13.0,7.0,36.0,0.0,46.0,10.0,0.0,0.0,19.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,0.0,19.0,3.0,0.0,0.0,0.0,0.0,28.0,10.0,0.0,28.0,6.0,13.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,19.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,15.0,59.0,6.0,0.0,13.0,9.0,0.0,32.0,15.0,5.0,33.0,24.0,26.0,7.0,36.0,0.0,55.0,20.0,0.0,0.0,38.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,15.0,28.0,3.0,0.0,13.0,9.0,0.0,0.0,5.0,5.0,6.0,18.0,13.0,7.0,36.0,0.0,46.0,10.0,0.0,0.0,19.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,15.0,47.0,6.0,0.0,13.0,9.0,0.0,28.0,15.0,5.0,33.0,24.0,26.0,7.0,36.0,0.0,55.0,20.0,0.0,0.0,38.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,10.0,43.0,4.0,0.0,8.0,7.0,5.0,9.0,6.0,5.0,20.0,17.0,7.0,3.0,46.0,4.0,30.0,7.0,3.0,7.0,16.0,0.0,21.0,6.0,30.0,10.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,1.0,22.0,6.0,0.0,5.0,1.0,2.0,23.0,14.0,5.0,32.0,4.0,5.0,0.0,10.0,2.0,5.0,3.0,0.0,4.0,6.0,0.0,12.0,16.0,0.0,2.0,0.0,52.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,11.0,65.0,10.0,0.0,13.0,8.0,7.0,32.0,20.0,10.0,51.0,21.0,12.0,4.0,56.0,6.0,36.0,10.0,4.0,11.0,22.0,0.0,33.0,22.0,30.0,12.0,0.0,77.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,10.0,30.0,4.0,0.0,8.0,7.0,5.0,5.0,6.0,5.0,20.0,17.0,7.0,3.0,46.0,4.0,30.0,7.0,3.0,7.0,16.0,0.0,21.0,6.0,30.0,10.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,11.0,52.0,10.0,0.0,13.0,8.0,7.0,28.0,20.0,10.0,51.0,21.0,12.0,4.0,56.0,6.0,36.0,10.0,4.0,11.0,22.0,0.0,33.0,22.0,30.0,12.0,0.0,77.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,51.0,30.0,68.0,1.0,32.0,30.0,21.0,48.0,29.0,38.0,19.0,19.0,24.0,14.0,15.0,21.0,8.0,11.0,12.0,9.0,1.0,1.0,6.0,12.0,2.0,5.0,0.0,3.0,0.0,530.0,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,34.0,18.0,38.0,0.0,13.0,16.0,14.0,33.0,14.0,28.0,12.0,4.0,14.0,9.0,9.0,14.0,3.0,7.0,5.0,6.0,0.0,1.0,4.0,7.0,0.0,2.0,0.0,1.0,0.0,306.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
