Jogador,Antonio Candreva,Domagoj Bradarić,Lassana Coulibaly,Lorenzo Pirola,Loum Tchaouna,Guillermo Ochoa,Giulio Maggiore,Norbert Gyömbér,Grigoris Kastanos,Pasquale Mazzocchi,Federico Fazio,Toma Bašić,Benoît Costil,Boulaye Dia,Chukwubuikem Ikwuemesi,Matteo Lovato,Niccolò Pierozzi,Mateusz Łęgowski,Junior Sambia,Alessandro Zanoli,Flavius Daniliuc,Jovane Cabral,Emil Bohinen,Agustín Martegani,Simeon Nwankwo,Kostas Manolas,Marco Pellegrino,Shon Weissman,Triantafyllos Pasaridīs,Vincenzo Fiorillo,Erik Botheim,Jérôme Boateng,Emanuel Vignato,Iron Gomis,Trivante Stewart,Dylan Bronn,Andres Sfait,Gerardo Fusco,Mamadou Coulibaly,Pasquale Allocca,Luca Boncori,Rocco Di Vico,Emanuele Elia,Tommaso Ferrari,Salvati Gregorio,Niccolò Guccione,Antonio Iervolino,Andrei Motoc
Pos.,"LT,AT",ZG,LT,ZG,"AT,LT",G,LT,ZG,"LT,ZG",ZG,ZG,LT,G,"AT,LT",AT,ZG,ZG,LT,"ZG,LT",ZG,ZG,"LT,AT",LT,LT,AT,ZG,ZG,"AT,ZG",ZG,G,"AT,LT",ZG,"LT,AT",LT,"AT,LT","ZG,LT","ZG,LT",AT,ZG,G,AT,LT,ZG,ZG,G,ZG,LT,LT
Div.1,9.0,15.0,22.0,15.0,10.0,0.0,20.0,20.0,9.0,16.0,8.0,10.0,2.0,1.0,2.0,16.0,11.0,11.0,6.0,7.0,9.0,3.0,2.0,6.0,1.0,6.0,5.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,257.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,25.0,25.0,49.0,28.0,20.0,1.0,42.0,26.0,20.0,29.0,14.0,27.0,3.0,3.0,6.0,24.0,22.0,26.0,11.0,12.0,19.0,9.0,10.0,18.0,3.0,8.0,10.0,4.0,14.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,2.0,0.0,0.0,519.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,360.0,600.0,449.0,536.0,500.0,0.0,476.0,769.0,450.0,552.0,571.0,370.0,667.0,333.0,333.0,667.0,500.0,423.0,545.0,583.0,474.0,333.0,200.0,333.0,333.0,750.0,500.0,0.0,643.0,0.0,0.0,0.0,833.0,0.0,0.0,0.0,500.0,0.0,0.0,495.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,16.0,10.0,27.0,13.0,10.0,1.0,22.0,6.0,11.0,13.0,6.0,17.0,1.0,2.0,4.0,8.0,11.0,15.0,5.0,5.0,10.0,6.0,8.0,12.0,2.0,2.0,5.0,4.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,262.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,9.0,22.0,23.0,46.0,20.0,0.0,27.0,33.0,13.0,14.0,22.0,18.0,0.0,5.0,1.0,14.0,24.0,13.0,15.0,10.0,13.0,3.0,8.0,4.0,7.0,10.0,11.0,2.0,7.0,0.0,3.0,6.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,409.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,0.0,7.0,5.0,30.0,1.0,0.0,5.0,23.0,4.0,6.0,19.0,6.0,0.0,0.0,1.0,7.0,7.0,2.0,7.0,2.0,4.0,0.0,2.0,1.0,0.0,7.0,6.0,1.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,9.0,15.0,18.0,16.0,19.0,0.0,22.0,10.0,9.0,8.0,3.0,12.0,0.0,5.0,0.0,7.0,17.0,11.0,8.0,8.0,9.0,3.0,6.0,3.0,7.0,3.0,5.0,1.0,4.0,0.0,3.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,248.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,7.0,32.0,16.0,25.0,4.0,0.0,24.0,23.0,8.0,5.0,17.0,14.0,0.0,3.0,1.0,18.0,11.0,7.0,11.0,1.0,8.0,1.0,14.0,4.0,0.0,2.0,10.0,3.0,3.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,279.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,25.0,61.0,63.0,64.0,24.0,0.0,73.0,59.0,31.0,30.0,35.0,34.0,2.0,7.0,4.0,45.0,28.0,30.0,23.0,17.0,27.0,14.0,22.0,17.0,6.0,11.0,18.0,7.0,14.0,0.0,2.0,4.0,11.0,6.0,0.0,0.0,1.0,0.0,0.0,815.0,867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,23.0,62.0,29.0,93.0,16.0,9.0,38.0,77.0,9.0,31.0,99.0,29.0,5.0,7.0,8.0,41.0,36.0,16.0,28.0,17.0,15.0,4.0,6.0,7.0,4.0,20.0,28.0,4.0,19.0,0.0,2.0,21.0,7.0,2.0,0.0,4.0,0.0,0.0,0.0,816.0,629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
