Jogador,Stefano Turati,Fabio Lucioni,Daniel Boloca,Marcus Rohdén,Mario Sampirisi,Luca Ravanelli,Luca Mazzitelli,Matteo Cotali,Luca Garritano,Giuseppe Caso,Luca Moro,Roberto Insigne,Samuele Mulattieri,Przemysław Szymiński,Gianluca Frabotta,Anthony Oyono,Ben Lhassine Kone,Karlo Lulić,Sergio Kalaj,Francesco Gelli,Ilario Monterisi,Jaime Báez,Gennaro Borrelli,Soufiane Bidaoui,Riccardo Ciervo,Milos Bocic,Andrea Oliveri,Leonardo Loria,Alessandro Selvini,Kalifa Kujabi,Mirko Gori,Aliou Badara Traore,Gabriele Bracaglia,Matteo Bruno,Hamza Haoudi,Giuseppe Marcianò
Pos.,G,ZG,LT,"LT,AT",ZG,ZG,LT,ZG,"LT,AT","AT,LT",AT,"AT,LT",AT,ZG,ZG,ZG,LT,LT,ZG,LT,ZG,"AT,LT",AT,AT,"AT,LT","AT,LT","LT,AT",G,AT,"LT,ZG",LT,LT,ZG,LT,LT,G
PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,2.0,7.0,12.0,8.0,2.0,4.0,8.0,7.0,4.0,5.0,2.0,3.0,3.0,1.0,5.0,1.0,4.0,2.0,3.0,0.0,1.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,2.2,1.8,5.3,0.4,0.9,1.5,0.2,3.5,7.6,5.5,5.8,7.5,0.2,0.7,0.3,0.8,0.5,0.2,0.1,0.3,1.7,3.5,0.6,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,2.2,1.8,5.3,0.4,0.9,1.5,0.2,3.5,7.6,5.5,5.0,7.5,0.2,0.7,0.3,0.8,0.5,0.2,0.1,0.3,1.7,2.7,0.6,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.5,1.0,1.3,3.3,1.9,0.4,3.3,1.3,4.1,2.9,1.6,5.0,1.8,0.0,1.9,1.5,1.0,1.7,0.2,0.3,0.2,1.5,0.3,0.5,0.8,0.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,5.0,32.0,30.0,86.0,23.0,13.0,47.0,15.0,77.0,105.0,71.0,100.0,92.0,3.0,26.0,18.0,18.0,22.0,4.0,4.0,5.0,31.0,30.0,11.0,16.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,9.0,62.0,46.0,22.0,6.0,35.0,31.0,46.0,111.0,19.0,45.0,27.0,1.0,22.0,35.0,31.0,21.0,2.0,14.0,9.0,25.0,7.0,17.0,14.0,12.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,1.0,117.0,179.0,96.0,100.0,90.0,208.0,98.0,91.0,54.0,29.0,82.0,20.0,27.0,42.0,41.0,40.0,62.0,20.0,31.0,29.0,26.0,11.0,8.0,7.0,4.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
