Jogador,Andrea Consigli,Davide Frattesi,Rogério,Jeremy Toljan,Armand Lauriente,Martin Erlic,Maxime Lopez,Andrea Pinamonti,Gian Marco Ferrari,Domenico Berardi,Matheus Henrique,Ruan,Grégoire Defrel,Kristian Thorstvedt,Pedro Obiang,Giorgos Kyriakopoulos,Nedim Bajrami,Nadir Zortea,Hamed Junior Traorè,Abdou Harroui,Kaan Ayhan,Emil Ceide,Luca D'Andrea,Riccardo Marchizza,Gianluca Pegolo,Agustín Álvarez Martínez,Alessandro Russo,Mert Müldür,Janis Antiste,Filippo Romagna,Giacomo Raspadori,Kevin Bruno,Adrian Cannavaro,Edoardo Pieragnolo,Gioele Zacchi
Pos.,G,LT,ZG,ZG,AT,ZG,LT,AT,ZG,AT,LT,ZG,AT,LT,LT,"AT,ZG","AT,LT",ZG,"LT,AT",LT,ZG,AT,AT,ZG,G,"AT,LT",G,"AT,ZG",AT,ZG,AT,LT,ZG,ZG,G
Tent,1.0,44.0,35.0,33.0,21.0,23.0,56.0,7.0,17.0,40.0,24.0,29.0,13.0,17.0,18.0,14.0,11.0,14.0,11.0,7.0,7.0,5.0,4.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,461.0,569.0,0.0,0.0
Tkl%,0.0,568.0,486.0,667.0,381.0,435.0,286.0,429.0,588.0,225.0,500.0,655.0,308.0,353.0,556.0,714.0,455.0,643.0,364.0,286.0,1000.0,600.0,250.0,500.0,0.0,250.0,0.0,0.0,1000.0,0.0,0.0,469.0,475.0,0.0,0.0
Perdido,1.0,19.0,18.0,11.0,13.0,13.0,40.0,4.0,7.0,31.0,12.0,10.0,9.0,11.0,8.0,4.0,6.0,5.0,7.0,5.0,0.0,2.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,245.0,299.0,0.0,0.0
Bloqueios,0.0,27.0,32.0,31.0,20.0,36.0,24.0,19.0,29.0,13.0,15.0,29.0,11.0,19.0,12.0,7.0,9.0,10.0,4.0,6.0,5.0,3.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,371.0,426.0,0.0,0.0
TC,0.0,6.0,9.0,14.0,0.0,23.0,6.0,2.0,20.0,0.0,4.0,17.0,0.0,5.0,2.0,1.0,1.0,4.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,122.0,124.0,0.0,0.0
Passe,0.0,21.0,23.0,17.0,20.0,13.0,18.0,17.0,9.0,13.0,11.0,12.0,11.0,14.0,10.0,6.0,8.0,6.0,4.0,5.0,1.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,249.0,302.0,0.0,0.0
Crts,0.0,16.0,37.0,18.0,12.0,31.0,22.0,2.0,23.0,19.0,12.0,24.0,2.0,14.0,8.0,11.0,7.0,4.0,2.0,2.0,5.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,278.0,306.0,0.0,0.0
Tkl+Int,1.0,79.0,74.0,54.0,33.0,58.0,64.0,12.0,46.0,42.0,38.0,62.0,11.0,30.0,34.0,32.0,19.0,19.0,13.0,19.0,15.0,6.0,5.0,4.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,780.0,940.0,0.0,0.0
Def,13.0,42.0,70.0,60.0,8.0,120.0,21.0,11.0,81.0,18.0,10.0,80.0,5.0,13.0,15.0,12.0,6.0,21.0,0.0,10.0,26.0,0.0,1.0,8.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,658.0,625.0,0.0,0.0
Erros,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,10.0,0.0,0.0
