Jogador,Rui Patrício,Tammy Abraham,Gianluca Mancini,Roger Ibanez,Rick Karsdorp,Bryan Cristante,Henrikh Mkhitaryan,Lorenzo Pellegrini,Jordan Veretout,Chris Smalling,Nicolò Zaniolo,Matías Viña,Marash Kumbulla,Sérgio Oliveira,Nicola Zalewski,Stephan El Shaarawy,Ainsley Maitland-Niles,Felix Afena-Gyan,Eldor Shomurodov,Carles Pérez,Riccardo Calafiori,Amadou Diawara,Leonardo Spinazzola,Borja Mayoral,Ebrima Darboe,Edoardo Bove,Cristian Volpato,Bryan Reynolds,Dimitrios Keramitsis,Daniel Fuzato,Pietro Boer,Davide Mastrantonio,Filippo Missori,Maissa Ndiaye,Jan Oliveras,Filippo Tripi,Gonzalo Villar
Pos.,G,AT,ZG,ZG,"ZG,AT",LT,"LT,AT",LT,LT,ZG,"AT,LT","ZG,AT",ZG,LT,ZG,"AT,ZG",ZG,"AT,LT","AT,LT","LT,AT",ZG,LT,ZG,"AT,ZG",LT,"LT,ZG","AT,LT",ZG,LT,G,G,G,ZG,ZG,ZG,LT,LT
PB,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,2.0,9.0,16.0,9.0,9.0,9.0,4.0,8.0,6.0,0.0,12.0,2.0,6.0,5.0,1.0,1.0,0.0,5.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,20.7,2.4,2.0,0.1,2.2,3.9,8.9,4.6,2.4,5.6,0.6,0.8,1.3,0.4,2.7,0.3,1.7,4.3,1.5,0.0,0.0,0.0,0.3,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,18.4,2.3,2.0,0.1,2.2,3.9,6.4,3.1,2.4,5.6,0.6,0.8,0.5,0.4,2.7,0.3,1.7,4.3,1.5,0.0,0.0,0.0,0.3,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.0,4.8,0.3,0.5,4.8,2.6,5.1,7.0,5.4,0.4,2.9,1.1,0.1,1.7,0.5,3.0,0.6,0.6,3.3,1.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,0.0,232.0,26.0,25.0,49.0,48.0,90.0,134.0,85.0,28.0,85.0,17.0,9.0,22.0,9.0,57.0,8.0,22.0,75.0,25.0,9.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,41.0,30.0,33.0,46.0,31.0,81.0,76.0,49.0,4.0,87.0,41.0,5.0,10.0,43.0,58.0,13.0,19.0,28.0,25.0,3.0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,2.0,70.0,137.0,116.0,150.0,231.0,149.0,136.0,164.0,39.0,57.0,74.0,31.0,41.0,22.0,78.0,24.0,7.0,17.0,19.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
