Jogador,Pietro Terracciano,Nikola Milenković,Cristiano Biraghi,Giacomo Bonaventura,Lucas Martínez Quarta,Alfred Duncan,Luca Ranieri,Arthur Melo,Michael Kayode,Nicolás González,Lucas Beltrán,Jonathan Ikone,Rolando Mandragora,Fabiano Parisi,M'Bala Nzola,Riccardo Sottil,Christian Kouamé,Andrea Belotti,Antonín Barák,Josip Brekalo,Maxime Lopez,Dodô,Gaetano Castrovilli,Davide Faraoni,Oliver Christensen,Tommaso Martinelli,Gino Infantino,Yerry Mina,Pietro Comuzzo,Lorenzo Amatucci,Sofyan Amrabat,Christian Biagetti,Christian Dalle Mura,Maat Daniel Caprini,Niccolò Fortini,Luka Jović,Aleksandr Kokorin,Niccolò Pierozzi,Abdelhamid Sabiri,Fallou Sene,Tommaso Vannucchi
Pos.,G,ZG,ZG,LT,ZG,LT,ZG,LT,ZG,AT,"AT,LT",AT,LT,ZG,AT,AT,AT,AT,"LT,AT",AT,LT,ZG,"AT,LT",ZG,G,G,LT,"ZG,LT","ZG,AT",LT,LT,ZG,ZG,AT,LT,AT,"AT,LT",ZG,LT,AT,G
TklW,1.0,21.0,28.0,13.0,47.0,22.0,10.0,30.0,30.0,18.0,14.0,11.0,11.0,15.0,8.0,5.0,4.0,3.0,2.0,6.0,9.0,3.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,320.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,1.0,24.0,20.0,6.0,43.0,13.0,11.0,17.0,27.0,15.0,4.0,7.0,8.0,11.0,1.0,5.0,7.0,1.0,1.0,6.0,5.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,242.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,0.0,14.0,24.0,10.0,28.0,15.0,1.0,24.0,15.0,8.0,18.0,9.0,13.0,12.0,4.0,1.0,6.0,5.0,3.0,2.0,10.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,231.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,0.0,3.0,3.0,10.0,4.0,7.0,2.0,4.0,11.0,5.0,5.0,6.0,5.0,7.0,6.0,4.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,1.0,22.0,28.0,9.0,36.0,15.0,8.0,26.0,35.0,8.0,11.0,10.0,10.0,15.0,6.0,3.0,6.0,5.0,3.0,2.0,6.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,275.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,3.0,36.0,52.0,21.0,54.0,35.0,13.0,42.0,48.0,28.0,20.0,17.0,22.0,26.0,7.0,8.0,10.0,12.0,7.0,11.0,12.0,5.0,8.0,11.0,0.0,0.0,1.0,2.0,1.0,0.0,512.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,333.0,611.0,538.0,429.0,667.0,429.0,615.0,619.0,729.0,286.0,550.0,588.0,455.0,577.0,857.0,375.0,600.0,417.0,429.0,182.0,500.0,400.0,125.0,455.0,0.0,0.0,0.0,500.0,1000.0,0.0,537.0,498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,2.0,14.0,24.0,12.0,18.0,20.0,5.0,16.0,13.0,20.0,9.0,7.0,12.0,11.0,1.0,5.0,4.0,7.0,4.0,9.0,6.0,3.0,7.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,237.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,1.0,22.0,30.0,16.0,38.0,27.0,25.0,27.0,25.0,26.0,29.0,12.0,14.0,21.0,10.0,12.0,16.0,8.0,5.0,7.0,3.0,2.0,4.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,388.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,0.0,14.0,5.0,1.0,14.0,5.0,11.0,3.0,12.0,1.0,3.0,0.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,1.0,8.0,25.0,15.0,24.0,22.0,14.0,24.0,13.0,25.0,26.0,12.0,11.0,16.0,9.0,12.0,16.0,7.0,5.0,7.0,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,307.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,0.0,27.0,14.0,14.0,30.0,11.0,29.0,18.0,18.0,12.0,2.0,3.0,9.0,17.0,0.0,2.0,2.0,2.0,2.0,1.0,7.0,5.0,2.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,236.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,1.0,68.0,61.0,40.0,105.0,46.0,43.0,63.0,71.0,40.0,29.0,25.0,35.0,47.0,11.0,12.0,15.0,10.0,8.0,9.0,25.0,10.0,5.0,14.0,0.0,0.0,4.0,1.0,2.0,0.0,800.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,8.0,95.0,43.0,10.0,69.0,13.0,64.0,8.0,46.0,9.0,11.0,8.0,18.0,26.0,22.0,2.0,10.0,3.0,4.0,0.0,6.0,11.0,3.0,14.0,1.0,0.0,1.0,2.0,2.0,0.0,509.0,887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
