Jogador,Guglielmo Vicario,Andrea Pinamonti,Petar Stojanović,Szymon Żurkowski,Filippo Bandinelli,Nedim Bajrami,Liam Henderson,Sebastiano Luperto,Samuele Ricci,Simone Romagnoli,Federico Di Francesco,Mattia Viti,Fabiano Parisi,Riccardo Marchizza,Patrick Cutrone,Kristjan Asllani,Ardian Ismajli,Nicolas Haas,Lorenzo Tonelli,Leo Štulac,Riccardo Fiamozzi,Liberato Cacace,Leonardo Mancuso,Valerio Verre,Andrea La Mantia,Marco Benassi,Tommaso Baldanzi,Giovanni Crociata,Valerio Biagini,Alberto Brignoli,Simone Canestrelli,Samuele Damiani,Duccio Degl'Innocenti,Emmanuel Ekong,Jacopo Fazzini,Jacopo Furlan,Klemen Hvalič,Leonardo Pezzola,Alessio Rizza,Samir Ujkani
Pos.,G,AT,ZG,LT,LT,"LT,AT",LT,ZG,LT,ZG,"AT,LT",ZG,ZG,ZG,AT,LT,ZG,LT,ZG,LT,ZG,ZG,AT,LT,"AT,LT",LT,AT,AT,G,G,ZG,LT,LT,AT,LT,G,G,ZG,ZG,G
PB,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,1.0,4.0,11.0,5.0,10.0,3.0,4.0,8.0,1.0,3.0,2.0,3.0,5.0,4.0,1.0,2.0,7.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,12.7,0.6,3.7,2.2,6.4,2.5,0.7,0.2,1.5,2.3,0.4,0.7,0.3,3.7,0.8,0.3,0.3,0.4,0.2,0.0,0.0,1.9,0.6,1.8,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,9.5,0.6,3.7,2.2,4.0,2.5,0.7,0.2,1.5,2.3,0.4,0.7,0.3,3.7,0.8,0.3,0.3,0.4,0.2,0.0,0.0,1.9,0.6,1.8,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.0,2.9,3.2,1.6,3.4,4.7,3.0,0.5,0.3,0.4,1.0,0.0,0.3,1.4,0.9,0.9,0.1,1.0,0.3,0.4,0.6,0.0,0.3,0.6,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,0.0,124.0,38.0,53.0,56.0,88.0,56.0,11.0,5.0,19.0,33.0,4.0,10.0,17.0,46.0,17.0,4.0,13.0,7.0,6.0,6.0,1.0,22.0,12.0,24.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,36.0,94.0,70.0,57.0,72.0,22.0,21.0,24.0,14.0,27.0,10.0,58.0,27.0,20.0,10.0,18.0,8.0,7.0,5.0,10.0,13.0,5.0,14.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,0.0,51.0,174.0,101.0,104.0,117.0,100.0,76.0,103.0,61.0,45.0,45.0,74.0,58.0,16.0,62.0,51.0,57.0,43.0,43.0,23.0,12.0,5.0,25.0,7.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,233.0,110.0,107.0,101.0,177.0,133.0,3.0,13.0,1.0,126.0,3.0,49.0,47.0,139.0,19.0,3.0,49.0,3.0,6.0,14.0,16.0,28.0,23.0,30.0,29.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,41.0,3.0,23.0,9.0,26.0,9.0,0.0,6.0,12.0,33.0,0.0,0.0,0.0,19.0,7.0,0.0,0.0,0.0,22.0,0.0,0.0,21.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,0.0,6.0,3.0,8.0,14.0,22.0,13.0,5.0,6.0,0.0,0.0,0.0,6.0,7.0,0.0,7.0,0.0,18.0,0.0,22.0,15.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,0.0,47.0,7.0,31.0,23.0,48.0,22.0,5.0,12.0,12.0,33.0,0.0,6.0,7.0,19.0,13.0,0.0,18.0,0.0,43.0,15.0,0.0,21.0,29.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,28.0,3.0,23.0,9.0,13.0,9.0,0.0,6.0,12.0,33.0,0.0,0.0,0.0,19.0,7.0,0.0,0.0,0.0,22.0,0.0,0.0,21.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
