Jogador,Sebastiano Luperto,Fabiano Parisi,Guglielmo Vicario,Răzvan Marin,Filippo Bandinelli,Tommaso Baldanzi,Ardian Ismajli,Tyronne Ebuehi,Francesco Caputo,Martin Satriano,Petar Stojanović,Jean-Daniel Akpa-Akpro,Alberto Grassi,Nicolò Cambiaghi,Nicolas Haas,Koni De Winter,Liam Henderson,Sam Lammers,Nedim Bajrami,Jacopo Fazzini,Samuele Perisan,Sebastian Walukiewicz,Mattia Destro,Roberto Piccoli,Liberato Cacace,Marko Pjaca,Emanuel Vignato,Emmanuel Ekong,Lorenzo Tonelli,Samir Ujkani,Duccio Degl'Innocenti,Herculano Nabian,Samuele Angori,Giovanni Crociata,Gabriele Guarino,Lorenzo Ignacchiti,Gabriele Indragoli,Gian Marco Fantoni,Davide Merola,Alessandro Renzi,Jacopo Seghetti,Lovro Štubljar,Leo Štulac
Pos.,ZG,ZG,G,LT,LT,LT,ZG,ZG,AT,AT,ZG,"LT,AT",LT,"AT,LT",LT,ZG,LT,AT,"LT,AT",LT,G,ZG,"AT,LT",AT,ZG,"LT,AT","LT,AT","AT,LT",ZG,G,LT,LT,ZG,LT,ZG,LT,ZG,G,AT,LT,G,G,LT
PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,4.0,10.0,3.0,7.0,10.0,2.0,3.0,0.0,1.0,4.0,3.0,9.0,3.0,5.0,2.0,3.0,9.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,1.2,1.8,0.0,1.4,1.7,2.4,0.7,3.1,7.5,3.9,0.3,1.5,0.6,3.4,1.2,0.0,0.5,2.3,1.2,1.0,0.0,0.3,1.4,1.3,0.6,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,1.2,1.8,0.0,1.4,1.7,2.4,0.7,3.1,5.9,3.9,0.3,1.5,0.6,3.4,1.2,0.0,0.5,2.3,1.2,1.0,0.0,0.3,1.4,1.3,0.6,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.6,2.0,0.0,4.2,2.6,1.8,0.3,1.9,2.2,1.2,1.0,1.0,0.4,1.1,0.9,0.2,1.4,0.7,1.2,0.9,0.0,0.1,0.4,0.4,0.6,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,19.0,38.0,0.0,55.0,44.0,42.0,10.0,50.0,81.0,51.0,13.0,24.0,9.0,45.0,21.0,2.0,19.0,29.0,24.0,19.0,0.0,4.0,18.0,17.0,12.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,13.0,102.0,0.0,35.0,40.0,57.0,10.0,31.0,16.0,29.0,50.0,19.0,5.0,73.0,10.0,2.0,11.0,9.0,22.0,11.0,0.0,6.0,4.0,8.0,21.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,72.0,154.0,0.0,118.0,101.0,69.0,42.0,41.0,21.0,22.0,91.0,39.0,50.0,42.0,36.0,22.0,38.0,19.0,29.0,21.0,0.0,13.0,4.0,4.0,41.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
