Jogador,Mike Maignan,Rafael Leão,Sandro Tonali,Fikayo Tomori,Theo Hernández,Franck Kessié,Brahim Díaz,Davide Calabria,Olivier Giroud,Alexis Saelemaekers,Pierre Kalulu,Alessio Romagnoli,Ismaël Bennacer,Rade Krunić,Junior Messias,Alessandro Florenzi,Zlatan Ibrahimović,Simon Kjær,Ante Rebić,Ciprian Tătărușanu,Matteo Gabbia,Tiemoué Bakayoko,Fodé Ballo-Touré,Daniel Maldini,Pietro Pellegri,Samu Castillejo,Andrea Conti,Luca Stanga,Sebastiano Desplanches,Enrico Di Gesù,Andreas Jungdal,Marko Lazetić,Antonio Mirante,Lapo Nava,Alessandro Plizzari,Tommaso Pobega
Pos.,G,AT,LT,ZG,ZG,LT,LT,ZG,AT,AT,ZG,ZG,LT,"LT,AT","AT,LT","ZG,AT",AT,ZG,AT,G,ZG,LT,ZG,LT,AT,"AT,LT",ZG,ZG,G,LT,G,AT,G,G,G,LT
TklW,1.0,7.0,37.0,44.0,35.0,23.0,17.0,37.0,11.0,22.0,36.0,14.0,30.0,18.0,18.0,14.0,0.0,12.0,8.0,0.0,3.0,13.0,14.0,3.0,2.0,2.0,0.0,0.0,421.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,2.0,3.0,23.0,36.0,34.0,12.0,3.0,31.0,4.0,12.0,36.0,14.0,22.0,16.0,11.0,14.0,0.0,9.0,3.0,0.0,1.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0,304.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,0.0,9.0,25.0,34.0,14.0,24.0,11.0,23.0,6.0,17.0,21.0,10.0,15.0,14.0,14.0,7.0,0.0,8.0,6.0,0.0,3.0,7.0,13.0,3.0,1.0,2.0,0.0,1.0,288.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,0.0,5.0,6.0,3.0,5.0,5.0,9.0,8.0,5.0,14.0,4.0,0.0,7.0,3.0,9.0,7.0,0.0,3.0,5.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,105.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,2.0,10.0,21.0,18.0,29.0,17.0,8.0,37.0,3.0,15.0,17.0,14.0,21.0,15.0,15.0,14.0,0.0,6.0,7.0,0.0,0.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0,281.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,2.0,20.0,41.0,26.0,40.0,26.0,22.0,72.0,17.0,51.0,22.0,18.0,50.0,31.0,34.0,32.0,2.0,12.0,20.0,1.0,4.0,16.0,9.0,6.0,1.0,8.0,0.0,0.0,583.0,779.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,1000.0,500.0,512.0,692.0,725.0,654.0,364.0,514.0,176.0,294.0,773.0,778.0,420.0,484.0,441.0,438.0,0.0,500.0,350.0,0.0,0.0,313.0,444.0,333.0,0.0,125.0,0.0,0.0,482.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,0.0,10.0,20.0,8.0,11.0,9.0,14.0,35.0,14.0,36.0,5.0,4.0,29.0,16.0,19.0,18.0,2.0,6.0,13.0,1.0,4.0,11.0,5.0,4.0,1.0,7.0,0.0,0.0,302.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,0.0,12.0,26.0,37.0,16.0,39.0,11.0,25.0,13.0,19.0,36.0,21.0,20.0,19.0,11.0,9.0,2.0,17.0,14.0,0.0,2.0,8.0,6.0,4.0,0.0,4.0,0.0,0.0,371.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,0.0,1.0,8.0,23.0,3.0,10.0,0.0,5.0,4.0,0.0,15.0,12.0,4.0,2.0,1.0,2.0,1.0,13.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,110.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,0.0,11.0,18.0,14.0,13.0,29.0,11.0,20.0,9.0,19.0,21.0,9.0,16.0,17.0,10.0,7.0,1.0,4.0,14.0,0.0,0.0,7.0,4.0,4.0,0.0,3.0,0.0,0.0,261.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,1.0,12.0,34.0,45.0,23.0,23.0,8.0,23.0,3.0,15.0,26.0,19.0,25.0,16.0,17.0,27.0,3.0,9.0,3.0,0.0,8.0,9.0,3.0,1.0,0.0,2.0,0.0,0.0,355.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,3.0,29.0,88.0,118.0,76.0,64.0,31.0,85.0,18.0,58.0,87.0,43.0,69.0,49.0,51.0,55.0,3.0,29.0,17.0,0.0,12.0,28.0,21.0,9.0,2.0,6.0,0.0,1.0,1052.0,991.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,4.0,8.0,19.0,84.0,29.0,22.0,4.0,40.0,19.0,8.0,54.0,45.0,15.0,17.0,17.0,10.0,9.0,39.0,3.0,2.0,12.0,10.0,5.0,0.0,1.0,1.0,0.0,0.0,477.0,722.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
