Jogador,Michele Di Gregorio,Carlos Augusto,Matteo Pessina,Gianluca Caprari,Patrick Ciurria,Armando Izzo,Pablo Marí,Luca Caldirola,Dany Mota,Nicolò Rovella,Stefano Sensi,Andrea Petagna,Marlon,Samuele Birindelli,Pepín,Andrea Colpani,Filippo Ranocchia,Mattia Valoti,Giulio Donati,Christian Gytkjær,Andrea Barberis,Marco D'Alessandro,Valentin Antov,Luca Marrone,Salvatore Molina,Andrea Carboni,Alessio Cragno,Andrea Ranocchia,Franco Carboni,Samuele Vignato,Warren Bondo,Leonardo Colombo,Gabriele Ferrarini,Andrea Ferraris,Mirko Marić,Alessandro Sorrentino
Pos.,G,ZG,LT,"LT,AT","ZG,LT",ZG,ZG,ZG,"AT,LT",LT,LT,AT,ZG,ZG,LT,LT,LT,"LT,AT",ZG,"AT,LT",LT,"ZG,AT",ZG,ZG,ZG,ZG,G,ZG,"ZG,AT","LT,AT",LT,LT,ZG,AT,AT,G
CrtsA,0.0,4.0,6.0,7.0,4.0,10.0,4.0,6.0,2.0,5.0,8.0,2.0,7.0,8.0,4.0,1.0,1.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,4.4,5.1,5.0,4.8,2.1,0.6,1.1,5.1,1.2,1.4,5.7,0.3,1.1,0.5,2.1,1.2,0.2,0.4,3.9,0.1,0.3,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
npxG,0.0,4.4,2.8,4.2,4.8,2.1,0.6,1.1,5.1,1.2,1.4,4.9,0.2,1.1,0.5,2.1,1.2,0.2,0.4,3.1,0.1,0.3,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
xAG,0.0,3.7,2.1,2.5,5.5,0.9,0.3,0.5,2.1,2.2,2.1,4.4,0.3,2.2,1.5,1.9,0.4,0.1,0.1,0.3,0.4,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,0.0,81.0,49.0,67.0,102.0,31.0,10.0,16.0,73.0,34.0,35.0,93.0,6.0,33.0,20.0,41.0,16.0,2.0,5.0,34.0,5.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,87.0,77.0,100.0,67.0,22.0,6.0,12.0,66.0,26.0,27.0,23.0,19.0,55.0,19.0,31.0,13.0,7.0,4.0,1.0,3.0,14.0,2.0,0.0,9.0,4.0,0.0,0.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
PrgP,0.0,101.0,193.0,92.0,91.0,96.0,57.0,63.0,34.0,99.0,143.0,34.0,63.0,43.0,74.0,51.0,26.0,16.0,21.0,6.0,14.0,3.0,14.0,4.0,7.0,9.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,151.0,88.0,188.0,168.0,29.0,3.0,13.0,166.0,19.0,37.0,132.0,12.0,121.0,28.0,69.0,15.0,9.0,8.0,32.0,0.0,19.0,3.0,0.0,22.0,2.0,0.0,0.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,18.0,15.0,18.0,20.0,4.0,4.0,8.0,24.0,5.0,17.0,22.0,0.0,0.0,0.0,38.0,17.0,0.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,3.0,15.0,9.0,7.0,16.0,0.0,0.0,0.0,5.0,10.0,6.0,27.0,0.0,6.0,16.0,9.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,3.0,32.0,25.0,26.0,36.0,4.0,4.0,8.0,28.0,16.0,22.0,49.0,0.0,6.0,16.0,47.0,17.0,0.0,21.0,16.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,18.0,6.0,15.0,20.0,4.0,4.0,8.0,24.0,5.0,17.0,16.0,0.0,0.0,0.0,38.0,17.0,0.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,3.0,32.0,15.0,22.0,36.0,4.0,4.0,8.0,28.0,16.0,22.0,43.0,0.0,6.0,16.0,47.0,17.0,0.0,21.0,16.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,13.0,16.0,18.0,16.0,8.0,2.0,4.0,24.0,6.0,8.0,31.0,1.0,7.0,4.0,20.0,21.0,3.0,8.0,63.0,3.0,10.0,0.0,7.0,2.0,3.0,0.0,0.0,11.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0
