Jogador,Elias Cobbaut,Franco Vázquez,Enrico Del Prato,Danilo Larangeira,Stanko Jurić,Gianluigi Buffon,Dennis Man,Adrian Benedyczak,Gennaro Tutino,Pasquale Schiattarella,Simon Sohm,Andrea Rispoli,Adrian Bernabe,Juan Brunetta,Yordan Osorio,Woyo Coulibaly,Roberto Inglese,Martin Turk,Valentin Mihaila,Simeon Nwankwo,Goran Pandev,Alessandro Circati,Botond Balogh,Félix Correia,Jayden Oosterwolde,Simone Colombi,Filippo Costa,Maxime Busi,Lautaro Valenti,Dario Sits,Ange-Yoan Bonny,Drissa Camara,Riccardo Gagliolo,Vasilios Zagaritis,Daniele Iacoponi,Aliou Badara Traore,Gastón Brugman,Francesco Cassata,Ahmed Ankrah,Francesco Borriello,Daan Dierckx,Simone Iacoponi,Andrea Mallamo,Andrea Piga,Alberto Rossi
Pos.,ZG,LT,ZG,ZG,LT,G,"ZG,AT",AT,AT,LT,"LT,ZG",ZG,LT,"LT,AT",ZG,ZG,AT,G,"AT,ZG",AT,AT,ZG,ZG,"ZG,AT",ZG,G,ZG,"ZG,AT",ZG,"AT,ZG",AT,LT,ZG,ZG,"AT,LT",LT,LT,LT,LT,G,ZG,ZG,LT,G,G
npxG.1,4.0,21.0,5.0,3.0,9.0,0.0,16.0,30.0,20.0,1.0,5.0,14.0,15.0,23.0,0.0,1.0,37.0,0.0,34.0,52.0,13.0,6.0,0.0,8.0,3.0,0.0,12.0,0.0,1.0,18.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,8.0,44.0,8.0,3.0,13.0,0.0,31.0,36.0,25.0,6.0,12.0,23.0,28.0,49.0,1.0,5.0,57.0,0.0,43.0,70.0,49.0,17.0,1.0,27.0,3.0,0.0,31.0,4.0,1.0,27.0,44.0,3.0,0.0,0.0,10.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,43.0,77.0,45.0,27.0,49.0,0.0,28.0,2.0,5.0,27.0,31.0,8.0,38.0,30.0,27.0,38.0,15.0,2.0,9.0,6.0,1.0,6.0,3.0,10.0,6.0,0.0,4.0,4.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,554.0,662.0,0.0,0.0,0.0,0.0,0.0
TklW,24.0,45.0,27.0,17.0,30.0,0.0,13.0,2.0,3.0,11.0,20.0,4.0,24.0,20.0,19.0,25.0,8.0,2.0,5.0,3.0,0.0,5.0,3.0,4.0,4.0,0.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,335.0,389.0,0.0,0.0,0.0,0.0,0.0
Terço Def,32.0,29.0,21.0,16.0,21.0,0.0,19.0,1.0,1.0,18.0,17.0,3.0,18.0,11.0,20.0,18.0,5.0,2.0,7.0,1.0,0.0,4.0,3.0,4.0,3.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,284.0,304.0,0.0,0.0,0.0,0.0,0.0
Terço Central,9.0,31.0,21.0,9.0,24.0,0.0,5.0,1.0,4.0,9.0,11.0,3.0,18.0,14.0,7.0,18.0,5.0,0.0,1.0,3.0,1.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,208.0,271.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,2.0,17.0,3.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,2.0,5.0,0.0,2.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,62.0,87.0,0.0,0.0,0.0,0.0,0.0
Div.1,19.0,31.0,22.0,16.0,25.0,0.0,13.0,0.0,0.0,11.0,12.0,4.0,11.0,19.0,13.0,17.0,5.0,2.0,6.0,5.0,0.0,2.0,2.0,6.0,4.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,253.0,333.0,0.0,0.0,0.0,0.0,0.0
Tent,32.0,89.0,34.0,24.0,61.0,0.0,29.0,3.0,5.0,23.0,29.0,16.0,26.0,37.0,20.0,26.0,16.0,2.0,14.0,11.0,4.0,4.0,3.0,8.0,7.0,1.0,3.0,8.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,549.0,693.0,0.0,0.0,0.0,0.0,0.0
Tkl%,594.0,348.0,647.0,667.0,410.0,0.0,448.0,0.0,0.0,478.0,414.0,250.0,423.0,514.0,650.0,654.0,313.0,1000.0,429.0,455.0,0.0,500.0,667.0,750.0,571.0,0.0,333.0,375.0,0.0,0.0,667.0,0.0,500.0,0.0,0.0,1000.0,0.0,0.0,461.0,481.0,0.0,0.0,0.0,0.0,0.0
Perdido,13.0,58.0,12.0,8.0,36.0,0.0,16.0,3.0,5.0,12.0,17.0,12.0,15.0,18.0,7.0,9.0,11.0,0.0,8.0,6.0,4.0,2.0,1.0,2.0,3.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,296.0,360.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,41.0,44.0,46.0,38.0,50.0,0.0,17.0,7.0,2.0,14.0,15.0,12.0,13.0,12.0,11.0,15.0,10.0,0.0,7.0,6.0,1.0,9.0,5.0,5.0,2.0,0.0,1.0,1.0,5.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,396.0,399.0,0.0,0.0,0.0,0.0,0.0
TC,16.0,10.0,21.0,25.0,11.0,0.0,7.0,4.0,0.0,6.0,2.0,1.0,1.0,3.0,6.0,3.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,135.0,124.0,0.0,0.0,0.0,0.0,0.0
Passe,25.0,34.0,25.0,13.0,39.0,0.0,10.0,3.0,2.0,8.0,13.0,11.0,12.0,9.0,5.0,12.0,9.0,0.0,7.0,5.0,1.0,5.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,261.0,275.0,0.0,0.0,0.0,0.0,0.0
Crts,38.0,27.0,42.0,21.0,30.0,1.0,10.0,1.0,3.0,26.0,22.0,18.0,7.0,14.0,18.0,16.0,2.0,0.0,2.0,1.0,1.0,9.0,4.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,330.0,410.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,81.0,104.0,87.0,48.0,79.0,1.0,38.0,3.0,8.0,53.0,53.0,26.0,45.0,44.0,45.0,54.0,17.0,2.0,11.0,7.0,2.0,15.0,7.0,16.0,12.0,1.0,4.0,4.0,2.0,2.0,4.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,884.0,1072.0,0.0,0.0,0.0,0.0,0.0
Def,133.0,24.0,87.0,123.0,29.0,7.0,27.0,7.0,5.0,17.0,8.0,37.0,12.0,4.0,50.0,17.0,7.0,5.0,7.0,6.0,0.0,14.0,14.0,5.0,6.0,0.0,7.0,3.0,9.0,2.0,1.0,2.0,6.0,2.0,1.0,1.0,0.0,0.0,685.0,701.0,0.0,0.0,0.0,0.0,0.0
Erros,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0
