Jogador,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols.1,Assis..1,G+A.1,G-PB.1,G+A-PB,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div.1,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
Claud Adjapong,ZG,22.0,19,18,1.598,17.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,1.3,21.0,61.0,81.0,78.0,6.0,6.0,11.0,6.0,11.0,5.0,7.0,12.0,5.0,12.0,17.0,10.0,6.0,10.0,1.0,9.0,17.0,529.0,8.0,16.0,3.0,13.0,27.0,44.0,30.0,0.0
Morten Hjulmand,LT,21.0,19,17,1.54,17.1,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,1.2,1.2,0.8,20.0,16.0,100.0,20.0,0.0,6.0,6.0,0.0,6.0,7.0,5.0,12.0,7.0,12.0,28.0,19.0,11.0,16.0,1.0,9.0,20.0,450.0,11.0,16.0,7.0,9.0,34.0,62.0,24.0,0.0
Leonard Zuta,ZG,27.0,23,17,1.532,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,7.0,23.0,101.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,4.0,27.0,15.0,15.0,11.0,1.0,12.0,17.0,706.0,5.0,23.0,6.0,17.0,32.0,59.0,28.0,0.0
Christian Maggio,ZG,38.0,17,17,1.514,16.8,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,1.7,1.7,2.1,38.0,42.0,113.0,75.0,18.0,12.0,30.0,18.0,30.0,10.0,12.0,23.0,10.0,23.0,28.0,17.0,17.0,10.0,1.0,11.0,25.0,440.0,14.0,18.0,4.0,14.0,18.0,46.0,37.0,0.0
Antonino Gallo,ZG,20.0,19,15,1.354,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.2,12.0,60.0,72.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,21.0,15.0,12.0,8.0,1.0,12.0,21.0,571.0,9.0,18.0,4.0,14.0,19.0,40.0,26.0,0.0
Luca Paganini,"LT,ZG",27.0,20,11,1.0,11.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.2,2.2,1.5,37.0,22.0,61.0,67.0,9.0,9.0,18.0,9.0,18.0,20.0,14.0,34.0,20.0,34.0,10.0,7.0,5.0,3.0,2.0,7.0,19.0,368.0,12.0,23.0,5.0,18.0,16.0,26.0,17.0,0.0
Stefano Pettinari,AT,28.0,23,10,925.0,10.3,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,4.3,4.3,1.1,54.0,28.0,28.0,107.0,39.0,10.0,49.0,39.0,49.0,42.0,11.0,53.0,42.0,53.0,4.0,2.0,1.0,1.0,2.0,2.0,11.0,182.0,9.0,9.0,1.0,8.0,2.0,6.0,2.0,0.0
Marco Calderoni,ZG,31.0,15,10,922.0,10.2,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.4,0.4,0.9,13.0,24.0,39.0,61.0,10.0,10.0,20.0,10.0,20.0,4.0,9.0,13.0,4.0,13.0,9.0,8.0,7.0,2.0,0.0,9.0,15.0,600.0,6.0,13.0,5.0,8.0,15.0,24.0,21.0,0.0
Marcin Listkowski,"LT,AT",22.0,16,7,645.0,7.2,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.9,14.0,14.0,36.0,47.0,0.0,28.0,28.0,0.0,28.0,6.0,13.0,19.0,6.0,19.0,7.0,4.0,3.0,4.0,0.0,3.0,11.0,273.0,8.0,6.0,0.0,6.0,5.0,12.0,4.0,0.0
Fabio Pisacane,ZG,34.0,10,7,570.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.0,1.0,1.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,9.0,3.0,9.0,0.0,0.0,5.0,6.0,833.0,1.0,9.0,4.0,5.0,6.0,15.0,28.0,0.0
Kastriot Dermaku,ZG,28.0,11,7,436.0,4.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,5.0,0.0,10.0,1.0,21.0,0.0,21.0,21.0,21.0,11.0,0.0,11.0,11.0,11.0,8.0,6.0,5.0,3.0,0.0,1.0,1.0,1000.0,0.0,14.0,11.0,3.0,12.0,20.0,20.0,0.0
Pablo Rodríguez,AT,18.0,19,6,727.0,8.1,6.0,1.0,7.0,6.0,0.0,0.0,4.0,0.0,3.1,3.1,0.9,40.0,21.0,18.0,78.0,74.0,12.0,87.0,74.0,87.0,38.0,11.0,49.0,38.0,49.0,8.0,5.0,0.0,4.0,4.0,3.0,8.0,375.0,5.0,7.0,0.0,7.0,4.0,12.0,0.0,0.0
Filippo Falco,AT,28.0,10,3,411.0,4.6,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.7,0.7,1.7,23.0,33.0,37.0,43.0,44.0,22.0,66.0,44.0,66.0,14.0,37.0,51.0,14.0,51.0,4.0,3.0,0.0,3.0,1.0,1.0,6.0,167.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Boban Nikolov,LT,26.0,13,3,399.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.7,0.7,0.1,8.0,5.0,14.0,25.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,18.0,16.0,18.0,8.0,6.0,4.0,4.0,0.0,4.0,7.0,571.0,3.0,4.0,1.0,3.0,5.0,13.0,14.0,0.0
