Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG.1,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Temporada regular,32.0,dom,2023-04-30,12:30,Inter,3.1,3–1,0.8,Lazio,75.5,Stadio Giuseppe Meazza,Marco Guida,Relatório da Partida,
Temporada regular,32.0,dom,2023-04-30,15:00,Cremonese,0.7,1–1,1.1,Hellas Verona,11.645,Stadio Giovanni Zini,Daniele Doveri,Relatório da Partida,
Temporada regular,32.0,dom,2023-04-30,15:00,Sassuolo,1.8,2–1,0.4,Empoli,10.267,Mapei Stadium - Città del Tricolore,Federico Dionisi,Relatório da Partida,
Temporada regular,32.0,dom,2023-04-30,15:00,Napoli,1.6,1–1,0.3,Salernitana,54.726,Stadio Diego Armando Maradona,Matteo Marcenaro,Relatório da Partida,
Temporada regular,32.0,dom,2023-04-30,18:00,Fiorentina,1.7,5–0,0.4,Sampdoria,30.602,Stadio Artemio Franchi,Antonio Giua,Relatório da Partida,
Temporada regular,32.0,dom,2023-04-30,20:45,Bologna,1.9,1–1,2.7,Juventus,30.071,Stadio Renato Dall'Ara,Simone Sozza,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,33.0,qua,2023-05-03,18:00,Sampdoria,0.3,0–2,2.0,Torino,16.865,Stadio Comunale Luigi Ferraris,Giacomo Camplone,Relatório da Partida,
Temporada regular,33.0,qua,2023-05-03,18:00,Juventus,1.8,2–1,1.7,Lecce,33.757,Allianz Stadium,Francesco Fourneau,Relatório da Partida,
Temporada regular,33.0,qua,2023-05-03,18:00,Salernitana,1.1,3–3,1.9,Fiorentina,17.868,Stadio Arechi,Ivan Pezzuto,Relatório da Partida,
Temporada regular,33.0,qua,2023-05-03,18:00,Atalanta,0.8,3–2,1.0,Spezia,17.417,Gewiss Stadium,Livio Marinelli,Relatório da Partida,
Temporada regular,33.0,qua,2023-05-03,21:00,Milan,1.6,1–1,1.2,Cremonese,68.136,Stadio Giuseppe Meazza,Luca Pairetto,Relatório da Partida,
Temporada regular,33.0,qua,2023-05-03,21:00,Lazio,1.9,2–0,0.9,Sassuolo,35.0,Stadio Olimpico,Massimiliano Irrati,Relatório da Partida,
Temporada regular,33.0,qua,2023-05-03,21:00,Hellas Verona,0.5,0–6,2.4,Inter,19.409,Stadio Marc'Antonio Bentegodi,Daniele Orsato,Relatório da Partida,
Temporada regular,33.0,qua,2023-05-03,21:00,Monza,0.9,1–1,1.0,Roma,12.388,U-Power Stadium,Daniele Chiffi,Relatório da Partida,
Temporada regular,33.0,qui,2023-05-04,20:45,Udinese,0.3,1–1,0.5,Napoli,24.911,Dacia Arena,Rosario Abisso,Relatório da Partida,
Temporada regular,33.0,qui,2023-05-04,20:45,Empoli,1.0,3–1,2.0,Bologna,8.349,Stadio Carlo Castellani,Federico La Penna,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,34.0,sáb,2023-05-06,15:00,Milan,0.8,2–0,1.2,Lazio,72.365,Stadio Giuseppe Meazza,Antonio Rapuano,Relatório da Partida,
Temporada regular,34.0,sáb,2023-05-06,18:00,Roma,0.9,0–2,0.7,Inter,61.87,Stadio Olimpico,Fabio Maresca,Relatório da Partida,
Temporada regular,34.0,sáb,2023-05-06,20:45,Cremonese,0.9,2–0,1.3,Spezia,10.26,Stadio Giovanni Zini,Marco Guida,Relatório da Partida,
Temporada regular,34.0,dom,2023-05-07,12:30,Atalanta,1.1,0–2,1.0,Juventus,19.57,Gewiss Stadium,Daniele Doveri,Relatório da Partida,
Temporada regular,34.0,dom,2023-05-07,15:00,Torino,0.9,1–1,0.9,Monza,19.517,Stadio Olimpico di Torino,Luca Zufferli,Relatório da Partida,
Temporada regular,34.0,dom,2023-05-07,18:00,Napoli,2.0,1–0,1.1,Fiorentina,46.522,Stadio Diego Armando Maradona,Matteo Marchetti,Relatório da Partida,
Temporada regular,34.0,dom,2023-05-07,20:45,Lecce,0.8,0–1,0.8,Hellas Verona,24.768,Stadio Comunale Via Del Mare,Davide Massa,Relatório da Partida,
Temporada regular,34.0,seg,2023-05-08,18:30,Udinese,1.0,2–0,0.9,Sampdoria,20.43,Dacia Arena,Niccolò Baroni,Relatório da Partida,
Temporada regular,34.0,seg,2023-05-08,18:30,Empoli,1.8,2–1,0.7,Salernitana,10.76,Stadio Carlo Castellani,Manuel Volpi,Relatório da Partida,
Temporada regular,34.0,seg,2023-05-08,20:45,Sassuolo,0.3,1–1,0.5,Bologna,13.664,Mapei Stadium - Città del Tricolore,Maria Sole Ferrieri Caputi,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,35.0,sex,2023-05-12,20:45,Lazio,1.7,2–2,1.4,Lecce,40.0,Stadio Olimpico,Fabio Maresca,Relatório da Partida,
Temporada regular,35.0,sáb,2023-05-13,15:00,Salernitana,0.5,1–0,1.2,Atalanta,17.4,Stadio Arechi,Marco Piccinini,Relatório da Partida,
Temporada regular,35.0,sáb,2023-05-13,18:00,Spezia,1.8,2–0,1.0,Milan,11.366,Stadio Alberto Picco,Daniele Doveri,Relatório da Partida,
Temporada regular,35.0,sáb,2023-05-13,20:45,Inter,1.4,4–2,2.3,Sassuolo,71.246,Stadio Giuseppe Meazza,Matteo Marcenaro,Relatório da Partida,
Temporada regular,35.0,dom,2023-05-14,12:30,Hellas Verona,0.5,0–1,1.8,Torino,19.658,Stadio Marc'Antonio Bentegodi,Marco Di Bello,Relatório da Partida,
Temporada regular,35.0,dom,2023-05-14,15:00,Fiorentina,2.1,2–0,0.3,Udinese,27.383,Stadio Artemio Franchi,Daniele Paterna,Relatório da Partida,
Temporada regular,35.0,dom,2023-05-14,15:00,Monza,1.3,2–0,1.1,Napoli,14.455,U-Power Stadium,Francesco Cosso,Relatório da Partida,
Temporada regular,35.0,dom,2023-05-14,18:00,Bologna,0.4,0–0,1.2,Roma,23.824,Stadio Renato Dall'Ara,Daniele Orsato,Relatório da Partida,
Temporada regular,35.0,dom,2023-05-14,20:45,Juventus,1.6,2–0,0.1,Cremonese,39.439,Allianz Stadium,Daniele Chiffi,Relatório da Partida,
Temporada regular,35.0,seg,2023-05-15,20:45,Sampdoria,1.3,1–1,1.6,Empoli,16.867,Stadio Comunale Luigi Ferraris,Ermanno Feliciani,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,36.0,sex,2023-05-19,20:45,Sassuolo,1.6,1–2,1.6,Monza,11.745,Mapei Stadium - Città del Tricolore,Alberto Santoro,Relatório da Partida,
Temporada regular,36.0,sáb,2023-05-20,15:00,Cremonese,1.3,1–5,2.6,Bologna,11.14,Stadio Giovanni Zini,Paolo Valeri,Relatório da Partida,
Temporada regular,36.0,sáb,2023-05-20,18:00,Atalanta,1.4,3–1,0.9,Hellas Verona,9.297,Gewiss Stadium,Simone Sozza,Relatório da Partida,
Temporada regular,36.0,sáb,2023-05-20,20:45,Milan,3.8,5–1,0.6,Sampdoria,72.105,Stadio Giuseppe Meazza,Francesco Fourneau,Relatório da Partida,
Temporada regular,36.0,dom,2023-05-21,12:30,Lecce,0.3,0–0,0.8,Spezia,26.022,Stadio Comunale Via Del Mare,Maurizio Mariani,Relatório da Partida,
Temporada regular,36.0,dom,2023-05-21,15:00,Torino,1.1,1–1,0.8,Fiorentina,20.403,Stadio Olimpico di Torino,Luca Massimi,Relatório da Partida,
Temporada regular,36.0,dom,2023-05-21,18:00,Napoli,1.7,3–1,0.6,Inter,50.0,Stadio Diego Armando Maradona,Livio Marinelli,Relatório da Partida,
Temporada regular,36.0,dom,2023-05-21,20:45,Udinese,0.5,0–1,2.0,Lazio,21.834,Dacia Arena,Luca Pairetto,Relatório da Partida,
Temporada regular,36.0,seg,2023-05-22,18:30,Roma,1.4,2–2,1.1,Salernitana,64.286,Stadio Olimpico,Andrea Colombo,Relatório da Partida,
Temporada regular,36.0,seg,2023-05-22,20:45,Empoli,2.7,4–1,1.8,Juventus,15.519,Stadio Carlo Castellani,Giovanni Ayroldi,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,37.0,sex,2023-05-26,20:45,Sampdoria,2.2,2–2,2.9,Sassuolo,18.43,Stadio Comunale Luigi Ferraris,Francesco Meraviglia,Relatório da Partida,
Temporada regular,37.0,sáb,2023-05-27,15:00,Spezia,0.9,0–4,1.0,Torino,10.776,Stadio Alberto Picco,Marco Guida,Relatório da Partida,
Temporada regular,37.0,sáb,2023-05-27,15:00,Salernitana,1.2,3–2,2.3,Udinese,27.035,Stadio Arechi,Niccolò Baroni,Relatório da Partida,
Temporada regular,37.0,sáb,2023-05-27,18:00,Fiorentina,2.3,2–1,1.2,Roma,32.829,Stadio Artemio Franchi,Giovanni Ayroldi,Relatório da Partida,
Temporada regular,37.0,sáb,2023-05-27,20:45,Inter,2.8,3–2,1.0,Atalanta,72.192,Stadio Giuseppe Meazza,Daniele Orsato,Relatório da Partida,
Temporada regular,37.0,dom,2023-05-28,12:30,Hellas Verona,1.0,1–1,1.2,Empoli,22.831,Stadio Marc'Antonio Bentegodi,Daniele Chiffi,Relatório da Partida,
Temporada regular,37.0,dom,2023-05-28,15:00,Bologna,1.9,2–2,1.4,Napoli,27.209,Stadio Renato Dall'Ara,Matteo Marcenaro,Relatório da Partida,
Temporada regular,37.0,dom,2023-05-28,15:00,Monza,1.1,0–1,1.2,Lecce,15.039,U-Power Stadium,Daniele Doveri,Relatório da Partida,
Temporada regular,37.0,dom,2023-05-28,18:00,Lazio,1.9,3–2,0.6,Cremonese,64.171,Stadio Olimpico,Antonio Giua,Relatório da Partida,
Temporada regular,37.0,dom,2023-05-28,20:45,Juventus,0.9,0–1,0.5,Milan,40.231,Allianz Stadium,Maurizio Mariani,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,38.0,sex,2023-06-02,20:30,Sassuolo,1.1,1–3,1.6,Fiorentina,12.456,Mapei Stadium - Città del Tricolore,Matteo Marchetti,Relatório da Partida,
Temporada regular,38.0,sáb,2023-06-03,18:30,Torino,1.1,0–1,1.0,Inter,24.528,Stadio Olimpico di Torino,Michael Fabbri,Relatório da Partida,
Temporada regular,38.0,sáb,2023-06-03,21:00,Cremonese,1.4,2–0,0.7,Salernitana,10.308,Stadio Giovanni Zini,Daniele Perenzoni,Relatório da Partida,
Temporada regular,38.0,sáb,2023-06-03,21:00,Empoli,0.2,0–2,1.6,Lazio,11.545,Stadio Carlo Castellani,Luca Massimi,Relatório da Partida,
Temporada regular,38.0,dom,2023-06-04,18:30,Napoli,2.0,2–0,0.6,Sampdoria,55.0,Stadio Diego Armando Maradona,Ermanno Feliciani,Relatório da Partida,
Temporada regular,38.0,dom,2023-06-04,21:00,Atalanta,4.0,5–2,1.2,Monza,19.389,Gewiss Stadium,Marco Di Bello,Relatório da Partida,
Temporada regular,38.0,dom,2023-06-04,21:00,Milan,2.4,3–1,0.8,Hellas Verona,72.102,Stadio Giuseppe Meazza,Paolo Valeri,Relatório da Partida,
Temporada regular,38.0,dom,2023-06-04,21:00,Udinese,0.8,0–1,1.3,Juventus,23.266,Dacia Arena,Marco Guida,Relatório da Partida,
Temporada regular,38.0,dom,2023-06-04,21:00,Lecce,1.4,2–3,1.1,Bologna,25.816,Stadio Comunale Via Del Mare,Marco Piccinini,Relatório da Partida,
Temporada regular,38.0,dom,2023-06-04,21:00,Roma,2.2,2–1,1.0,Spezia,62.242,Stadio Olimpico,Fabio Maresca,Relatório da Partida,
,,,,,,,,,,,,,,
Desempate de rebaixamento,,dom,2023-06-11,20:45,Spezia,1.9,1–3,0.8,Hellas Verona,,Dacia Arena,Daniele Orsato,Relatório da Partida,
