Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG.1,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Temporada regular,9.0,seg,2022-10-10,20:45,Fiorentina,2.2,0–4,1.6,Lazio,30.574,Stadio Artemio Franchi,Fabio Maresca,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,10.0,sáb,2022-10-15,15:00,Empoli,1.8,1–0,1.3,Monza,7.258,Stadio Carlo Castellani,Antonio Rapuano,Relatório da Partida,
Temporada regular,10.0,sáb,2022-10-15,18:00,Torino,0.6,0–1,2.1,Juventus,22.269,Stadio Olimpico di Torino,Maurizio Mariani,Relatório da Partida,
Temporada regular,10.0,sáb,2022-10-15,20:45,Atalanta,2.5,2–1,0.8,Sassuolo,17.772,Gewiss Stadium,Matteo Marcenaro,Relatório da Partida,
Temporada regular,10.0,dom,2022-10-16,12:30,Inter,1.7,2–0,0.4,Salernitana,75.452,Stadio Giuseppe Meazza,Juan Sacchi,Relatório da Partida,
Temporada regular,10.0,dom,2022-10-16,15:00,Lazio,0.8,0–0,0.9,Udinese,45.0,Stadio Olimpico,Andrea Colombo,Relatório da Partida,
Temporada regular,10.0,dom,2022-10-16,15:00,Spezia,1.5,2–2,2.1,Cremonese,8.4,Stadio Alberto Picco,Gianluca Manganiello,Relatório da Partida,
Temporada regular,10.0,dom,2022-10-16,18:00,Napoli,2.6,3–2,1.3,Bologna,50.0,Stadio Diego Armando Maradona,Francesco Cosso,Relatório da Partida,
Temporada regular,10.0,dom,2022-10-16,20:45,Hellas Verona,2.1,1–2,1.9,Milan,22.904,Stadio Marc'Antonio Bentegodi,Davide Massa,Relatório da Partida,
Temporada regular,10.0,seg,2022-10-17,18:30,Sampdoria,0.2,0–1,1.8,Roma,20.803,Stadio Comunale Luigi Ferraris,Marco Di Bello,Relatório da Partida,
Temporada regular,10.0,seg,2022-10-17,20:45,Lecce,1.1,1–1,0.5,Fiorentina,24.925,Stadio Comunale Via Del Mare,Luca Massimi,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,11.0,sex,2022-10-21,20:45,Juventus,3.5,4–0,0.7,Empoli,37.771,Allianz Stadium,Michael Fabbri,Relatório da Partida,
Temporada regular,11.0,sáb,2022-10-22,15:00,Salernitana,1.6,1–0,0.9,Spezia,17.26,Stadio Arechi,Daniele Chiffi,Relatório da Partida,
Temporada regular,11.0,sáb,2022-10-22,18:00,Milan,1.1,4–1,1.2,Monza,72.938,Stadio Giuseppe Meazza,Livio Marinelli,Relatório da Partida,
Temporada regular,11.0,sáb,2022-10-22,20:45,Fiorentina,1.3,3–4,2.4,Inter,36.699,Stadio Artemio Franchi,Paolo Valeri,Relatório da Partida,
Temporada regular,11.0,dom,2022-10-23,12:30,Udinese,2.0,1–2,1.5,Torino,20.711,Dacia Arena,Matteo Marchetti,Relatório da Partida,
Temporada regular,11.0,dom,2022-10-23,15:00,Bologna,1.8,2–0,0.4,Lecce,24.206,Stadio Renato Dall'Ara,Simone Sozza,Relatório da Partida,
Temporada regular,11.0,dom,2022-10-23,18:00,Atalanta,0.8,0–2,0.9,Lazio,18.988,Gewiss Stadium,Rosario Abisso,Relatório da Partida,
Temporada regular,11.0,dom,2022-10-23,20:45,Roma,0.3,0–1,0.9,Napoli,61.633,Stadio Olimpico,Massimiliano Irrati,Relatório da Partida,
Temporada regular,11.0,seg,2022-10-24,18:30,Cremonese,2.0,0–1,1.3,Sampdoria,13.021,Stadio Giovanni Zini,Fabio Maresca,Relatório da Partida,
Temporada regular,11.0,seg,2022-10-24,20:45,Sassuolo,1.5,2–1,1.4,Hellas Verona,11.368,Mapei Stadium - Città del Tricolore,Alberto Santoro,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,12.0,sáb,2022-10-29,15:00,Napoli,2.1,4–0,1.0,Sassuolo,45.0,Stadio Diego Armando Maradona,Antonio Rapuano,Relatório da Partida,
Temporada regular,12.0,sáb,2022-10-29,18:00,Lecce,0.2,0–1,0.6,Juventus,25.86,Stadio Comunale Via Del Mare,Daniele Chiffi,Relatório da Partida,
Temporada regular,12.0,sáb,2022-10-29,20:45,Inter,2.0,3–0,0.5,Sampdoria,73.311,Stadio Giuseppe Meazza,Luca Massimi,Relatório da Partida,
Temporada regular,12.0,dom,2022-10-30,12:30,Empoli,0.8,0–2,3.0,Atalanta,8.74,Stadio Carlo Castellani,Giovanni Ayroldi,Relatório da Partida,
Temporada regular,12.0,dom,2022-10-30,15:00,Spezia,1.2,1–2,2.1,Fiorentina,10.5,Stadio Alberto Picco,Davide Massa,Relatório da Partida,
Temporada regular,12.0,dom,2022-10-30,15:00,Cremonese,0.7,0–0,1.0,Udinese,12.81,Stadio Giovanni Zini,Massimiliano Irrati,Relatório da Partida,
Temporada regular,12.0,dom,2022-10-30,18:00,Lazio,1.9,1–3,1.5,Salernitana,40.0,Stadio Olimpico,Gianluca Manganiello,Relatório da Partida,
Temporada regular,12.0,dom,2022-10-30,20:45,Torino,0.6,2–1,1.1,Milan,26.133,Stadio Olimpico di Torino,Rosario Abisso,Relatório da Partida,
Temporada regular,12.0,seg,2022-10-31,18:30,Hellas Verona,0.3,1–3,3.1,Roma,24.0,Stadio Marc'Antonio Bentegodi,Juan Sacchi,Relatório da Partida,
Temporada regular,12.0,seg,2022-10-31,20:45,Monza,1.2,1–2,1.3,Bologna,11.388,U-Power Stadium,Luca Pairetto,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,13.0,sex,2022-11-04,20:45,Udinese,1.7,1–1,0.7,Lecce,21.834,Dacia Arena,Francesco Fourneau,Relatório da Partida,
Temporada regular,13.0,sáb,2022-11-05,15:00,Empoli,1.2,1–0,0.6,Sassuolo,7.834,Stadio Carlo Castellani,Ermanno Feliciani,Relatório da Partida,
Temporada regular,13.0,sáb,2022-11-05,15:00,Salernitana,1.3,2–2,1.7,Cremonese,16.78,Stadio Arechi,Matteo Marchetti,Relatório da Partida,
Temporada regular,13.0,sáb,2022-11-05,18:00,Atalanta,2.0,1–2,1.3,Napoli,19.363,Gewiss Stadium,Maurizio Mariani,Relatório da Partida,
Temporada regular,13.0,sáb,2022-11-05,20:45,Milan,2.2,2–1,1.6,Spezia,71.099,Stadio Giuseppe Meazza,Michael Fabbri,Relatório da Partida,
Temporada regular,13.0,dom,2022-11-06,12:30,Bologna,2.0,2–1,1.0,Torino,23.168,Stadio Renato Dall'Ara,Antonio Giua,Relatório da Partida,
Temporada regular,13.0,dom,2022-11-06,15:00,Monza,1.3,2–0,0.4,Hellas Verona,11.723,U-Power Stadium,Francesco Cosso,Relatório da Partida,
Temporada regular,13.0,dom,2022-11-06,15:00,Sampdoria,0.8,0–2,0.9,Fiorentina,19.226,Stadio Comunale Luigi Ferraris,Livio Marinelli,Relatório da Partida,
Temporada regular,13.0,dom,2022-11-06,18:00,Roma,0.5,0–1,0.6,Lazio,62.847,Stadio Olimpico,Daniele Orsato,Relatório da Partida,
Temporada regular,13.0,dom,2022-11-06,20:45,Juventus,0.9,2–0,1.2,Inter,40.093,Allianz Stadium,Daniele Doveri,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,14.0,ter,2022-11-08,18:30,Napoli,2.0,2–0,0.3,Empoli,36.0,Stadio Diego Armando Maradona,Luca Pairetto,Relatório da Partida,
Temporada regular,14.0,ter,2022-11-08,18:30,Spezia,2.0,1–1,0.6,Udinese,6.9,Stadio Alberto Picco,Marco Piccinini,Relatório da Partida,
Temporada regular,14.0,ter,2022-11-08,20:45,Cremonese,0.3,0–0,1.0,Milan,14.61,Stadio Giovanni Zini,Antonio Rapuano,Relatório da Partida,
Temporada regular,14.0,qua,2022-11-09,18:30,Lecce,1.1,2–1,1.5,Atalanta,23.797,Stadio Comunale Via Del Mare,Gianluca Aureliano,Relatório da Partida,
Temporada regular,14.0,qua,2022-11-09,18:30,Sassuolo,1.2,1–1,0.7,Roma,16.665,Mapei Stadium - Città del Tricolore,Giovanni Ayroldi,Relatório da Partida,
Temporada regular,14.0,qua,2022-11-09,20:45,Fiorentina,2.8,2–1,0.5,Salernitana,27.329,Stadio Artemio Franchi,Federico La Penna,Relatório da Partida,
Temporada regular,14.0,qua,2022-11-09,20:45,Torino,0.5,2–0,0.5,Sampdoria,15.593,Stadio Olimpico di Torino,Davide Massa,Relatório da Partida,
