Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG.1,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
8.0,sáb,2021-10-16,18:00,Lazio,2.5,3–1,1.4,Inter,42.0,Stadio Olimpico,Massimiliano Irrati,Relatório da Partida,
8.0,sáb,2021-10-16,20:45,Milan,1.7,3–2,1.6,Hellas Verona,40.128,Stadio Giuseppe Meazza,Alessandro Prontera,Relatório da Partida,
8.0,dom,2021-10-17,12:30,Cagliari,1.2,3–1,1.2,Sampdoria,9.923,Unipol Domus,Matteo Marchetti,Relatório da Partida,
8.0,dom,2021-10-17,15:00,Genoa,1.3,2–2,2.3,Sassuolo,10.37,Stadio Comunale Luigi Ferraris,Daniele Chiffi,Relatório da Partida,
8.0,dom,2021-10-17,15:00,Empoli,0.6,1–4,3.9,Atalanta,6.214,Stadio Carlo Castellani,Marco Serra,Relatório da Partida,
8.0,dom,2021-10-17,15:00,Udinese,0.8,1–1,1.4,Bologna,10.627,Dacia Arena,Rosario Abisso,Relatório da Partida,
8.0,dom,2021-10-17,18:00,Napoli,1.4,1–0,1.0,Torino,27.579,Stadio Diego Armando Maradona,Juan Sacchi,Relatório da Partida,
8.0,dom,2021-10-17,20:45,Juventus,1.2,1–0,1.6,Roma,20.239,Allianz Stadium,Daniele Orsato,Relatório da Partida,
8.0,seg,2021-10-18,20:45,Venezia,1.1,1–0,0.4,Fiorentina,8.043,Stadio Pierluigi Penzo,Luca Massimi,Relatório da Partida,
,,,,,,,,,,,,,
9.0,sex,2021-10-22,18:30,Torino,2.2,3–2,2.7,Genoa,9.881,Stadio Olimpico di Torino,Piero Giacomelli,Relatório da Partida,
9.0,sex,2021-10-22,20:45,Sampdoria,0.6,2–1,1.0,Spezia,7.493,Stadio Comunale Luigi Ferraris,Michael Fabbri,Relatório da Partida,
9.0,sáb,2021-10-23,15:00,Salernitana,1.2,2–4,2.4,Empoli,11.142,Stadio Arechi,Daniele Doveri,Relatório da Partida,
9.0,sáb,2021-10-23,18:00,Sassuolo,1.5,3–1,0.6,Venezia,4.482,Mapei Stadium - Città del Tricolore,Antonio Di Martino,Relatório da Partida,
9.0,sáb,2021-10-23,20:45,Bologna,0.9,2–4,1.0,Milan,22.167,Stadio Renato Dall'Ara,Paolo Valeri,Relatório da Partida,
9.0,dom,2021-10-24,12:30,Atalanta,0.4,1–1,0.6,Udinese,9.951,Stadio Atleti Azzurri d'Italia,Livio Marinelli,Relatório da Partida,
9.0,dom,2021-10-24,15:00,Fiorentina,2.9,3–0,0.1,Cagliari,20.29,Stadio Artemio Franchi,Antonio Rapuano,Relatório da Partida,
9.0,dom,2021-10-24,15:00,Hellas Verona,2.8,4–1,0.8,Lazio,13.953,Stadio Marc'Antonio Bentegodi,Marco Piccinini,Relatório da Partida,
9.0,dom,2021-10-24,18:00,Roma,1.5,0–0,0.7,Napoli,47.801,Stadio Olimpico,Davide Massa,Relatório da Partida,
9.0,dom,2021-10-24,20:45,Inter,0.8,1–1,1.7,Juventus,56.532,Stadio Giuseppe Meazza,Maurizio Mariani,Relatório da Partida,
,,,,,,,,,,,,,
10.0,ter,2021-10-26,18:30,Venezia,0.7,1–2,1.3,Salernitana,5.103,Stadio Pierluigi Penzo,Marco Di Bello,Relatório da Partida,
10.0,ter,2021-10-26,18:30,Spezia,2.2,1–1,1.1,Genoa,7.283,Stadio Alberto Picco,Simone Sozza,Relatório da Partida,
10.0,ter,2021-10-26,20:45,Milan,0.9,1–0,0.6,Torino,35.929,Stadio Giuseppe Meazza,Gianluca Aureliano,Relatório da Partida,
10.0,qua,2021-10-27,18:30,Juventus,1.2,1–2,1.1,Sassuolo,18.288,Allianz Stadium,Juan Sacchi,Relatório da Partida,
10.0,qua,2021-10-27,18:30,Sampdoria,1.3,1–3,1.3,Atalanta,5.462,Stadio Comunale Luigi Ferraris,Alessandro Prontera,Relatório da Partida,
10.0,qua,2021-10-27,18:30,Udinese,1.1,1–1,0.9,Hellas Verona,8.751,Dacia Arena,Matteo Marchetti,Relatório da Partida,
10.0,qua,2021-10-27,20:45,Lazio,0.8,1–0,0.5,Fiorentina,7.0,Stadio Olimpico,Giovanni Ayroldi,Relatório da Partida,
10.0,qua,2021-10-27,20:45,Empoli,0.5,0–2,2.1,Inter,9.335,Stadio Carlo Castellani,Daniele Chiffi,Relatório da Partida,
10.0,qua,2021-10-27,20:45,Cagliari,1.1,1–2,2.1,Roma,8.547,Unipol Domus,Ivan Pezzuto,Relatório da Partida,
10.0,qui,2021-10-28,20:45,Napoli,2.7,3–0,0.3,Bologna,20.0,Stadio Diego Armando Maradona,Marco Serra,Relatório da Partida,
,,,,,,,,,,,,,
11.0,sáb,2021-10-30,15:00,Atalanta,0.8,2–2,1.4,Lazio,11.981,Stadio Atleti Azzurri d'Italia,Marco Guida,Relatório da Partida,
11.0,sáb,2021-10-30,18:00,Hellas Verona,1.5,2–1,1.0,Juventus,22.314,Stadio Marc'Antonio Bentegodi,Livio Marinelli,Relatório da Partida,
11.0,sáb,2021-10-30,20:45,Torino,2.4,3–0,0.2,Sampdoria,13.137,Stadio Olimpico di Torino,Francesco Fourneau,Relatório da Partida,
